CommonName2023,ScientificName2023,Notes
PODICIPEDIFORMES: Podicipedidae,,
Pied-billed Grebe,Podilymbus podiceps,
Horned Grebe,Podiceps auritus,Rare/Accidental
Red-necked Grebe,Podiceps grisegena,
Eared Grebe,Podiceps nigricollis,Rare/Accidental
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species
White-winged Dove,Zenaida asiatica,Rare/Accidental
Mourning Dove,Zenaida macroura,
,,
CUCULIFORMES: Cuculidae,,
Yellow-billed Cuckoo,Coccyzus americanus,Rare/Accidental
Black-billed Cuckoo,Coccyzus erythropthalmus,Rare/Accidental
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Common Nighthawk,Chordeiles minor,Rare/Accidental
Chuck-will's-widow,Antrostomus carolinensis,Rare/Accidental
,,
CAPRIMULGIFORMES: Apodidae,,
Chimney Swift,Chaetura pelagica,
Common Swift,Apus apus,Rare/Accidental
,,
CAPRIMULGIFORMES: Trochilidae,,
Ruby-throated Hummingbird,Archilochus colubris,
Anna's Hummingbird,Calypte anna,Rare/Accidental
Rufous Hummingbird,Selasphorus rufus,Rare/Accidental
,,
GRUIFORMES: Rallidae,,
King Rail,Rallus elegans,Rare/Accidental
Clapper Rail,Rallus crepitans,Rare/Accidental
Virginia Rail,Rallus limicola,Rare/Accidental
Corn Crake,Crex crex,Rare/Accidental
Sora,Porzana carolina,
Common Gallinule,Gallinula galeata,Rare/Accidental
Eurasian Coot,Fulica atra,Rare/Accidental
American Coot,Fulica americana,
Purple Gallinule,Porphyrio martinica,Rare/Accidental
Yellow Rail,Coturnicops noveboracensis,Rare/Accidental
,,
GRUIFORMES: Gruidae,,
Sandhill Crane,Antigone canadensis,Rare/Accidental
,,
CHARADRIIFORMES: Recurvirostridae,,
Black-necked Stilt,Himantopus mexicanus,Rare/Accidental
American Avocet,Recurvirostra americana,Rare/Accidental
,,
CHARADRIIFORMES: Haematopodidae,,
Eurasian Oystercatcher,Haematopus ostralegus,Rare/Accidental
American Oystercatcher,Haematopus palliatus,Rare/Accidental
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
European Golden-Plover,Pluvialis apricaria,Rare/Accidental
American Golden-Plover,Pluvialis dominica,
Pacific Golden-Plover,Pluvialis fulva,Rare/Accidental
Killdeer,Charadrius vociferus,
Common Ringed Plover,Charadrius hiaticula,Rare/Accidental
Semipalmated Plover,Charadrius semipalmatus,
Piping Plover,Charadrius melodus,
Northern Lapwing,Vanellus vanellus,Rare/Accidental
,,
CHARADRIIFORMES: Scolopacidae,,
Upland Sandpiper,Bartramia longicauda,Rare/Accidental
Whimbrel,Numenius phaeopus,
Eskimo Curlew,Numenius borealis,Extirpated
Eurasian Curlew,Numenius arquata,Rare/Accidental
Bar-tailed Godwit,Limosa lapponica,Rare/Accidental
Black-tailed Godwit,Limosa limosa,Rare/Accidental
Hudsonian Godwit,Limosa haemastica,
Marbled Godwit,Limosa fedoa,Rare/Accidental
Short-billed Dowitcher,Limnodromus griseus,
Long-billed Dowitcher,Limnodromus scolopaceus,Rare/Accidental
Jack Snipe,Lymnocryptes minimus,Rare/Accidental
American Woodcock,Scolopax minor,Rare/Accidental
Eurasian Woodcock,Scolopax rusticola,Rare/Accidental
Common Snipe,Gallinago gallinago,Rare/Accidental
Wilson's Snipe,Gallinago delicata,
Wilson's Phalarope,Phalaropus tricolor,Rare/Accidental
Red Phalarope,Phalaropus fulicarius,
Red-necked Phalarope,Phalaropus lobatus,
Spotted Sandpiper,Actitis macularius,
Solitary Sandpiper,Tringa solitaria,Rare/Accidental
Wood Sandpiper,Tringa glareola,Rare/Accidental
Common Redshank,Tringa totanus,Rare/Accidental
Lesser Yellowlegs,Tringa flavipes,
Willet,Tringa semipalmata,
Spotted Redshank,Tringa erythropus,Rare/Accidental
Common Greenshank,Tringa nebularia,Rare/Accidental
Greater Yellowlegs,Tringa melanoleuca,
Ruddy Turnstone,Arenaria interpres,
Red Knot,Calidris canutus,
Ruff,Calidris pugnax,Rare/Accidental
Curlew Sandpiper,Calidris ferruginea,Rare/Accidental
Stilt Sandpiper,Calidris himantopus,Rare/Accidental
Red-necked Stint,Calidris ruficollis,Rare/Accidental
Buff-breasted Sandpiper,Calidris subruficollis,Rare/Accidental
Sanderling,Calidris alba,
Dunlin,Calidris alpina,
Purple Sandpiper,Calidris maritima,
Baird's Sandpiper,Calidris bairdii,Rare/Accidental
Little Stint,Calidris minuta,Rare/Accidental
White-rumped Sandpiper,Calidris fuscicollis,
Least Sandpiper,Calidris minutilla,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,Rare/Accidental
Semipalmated Sandpiper,Calidris pusilla,
,,
CHARADRIIFORMES: Stercorariidae,,
Long-tailed Jaeger,Stercorarius longicaudus,
Parasitic Jaeger,Stercorarius parasiticus,
Pomarine Jaeger,Stercorarius pomarinus,
Great Skua,Stercorarius skua,
South Polar Skua,Stercorarius maccormicki,Rare/Accidental
,,
CHARADRIIFORMES: Alcidae,,
Atlantic Puffin,Fratercula arctica,
Black Guillemot,Cepphus grylle,
Razorbill,Alca torda,
Great Auk,Pinguinus impennis,Rare/Accidental
Dovekie,Alle alle,
Thick-billed Murre,Uria lomvia,
Common Murre,Uria aalge,
,,
CHARADRIIFORMES: Laridae,,
Little Gull,Hydrocoloeus minutus,Rare/Accidental
Ross's Gull,Rhodostethia rosea,Rare/Accidental
Black-legged Kittiwake,Rissa tridactyla,
Ivory Gull,Pagophila eburnea,
Sabine's Gull,Xema sabini,Rare/Accidental
Bonaparte's Gull,Chroicocephalus philadelphia,Rare/Accidental
Black-headed Gull,Chroicocephalus ridibundus,
Laughing Gull,Leucophaeus atricilla,Rare/Accidental
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental
Black-tailed Gull,Larus crassirostris,Rare/Accidental
Common Gull,Larus canus,
Ring-billed Gull,Larus delawarensis,
Kelp Gull,Larus dominicanus,Rare/Accidental
Herring Gull,Larus argentatus,
Yellow-legged Gull,Larus michahellis,Rare/Accidental
Great Black-backed Gull,Larus marinus,
Glaucous Gull,Larus hyperboreus,
Lesser Black-backed Gull,Larus fuscus,Rare/Accidental
Glaucous-winged Gull,Larus glaucescens,Rare/Accidental
Slaty-backed Gull,Larus schistisagus,Rare/Accidental
Iceland Gull,Larus glaucoides,
Black Skimmer,Rynchops niger,Rare/Accidental
Sooty Tern,Onychoprion fuscatus,Rare/Accidental
Bridled Tern,Onychoprion anaethetus,Rare/Accidental
Least Tern,Sternula antillarum,Rare/Accidental
Gull-billed Tern,Gelochelidon nilotica,Rare/Accidental
Caspian Tern,Hydroprogne caspia,
Black Tern,Chlidonias niger,Rare/Accidental
White-winged Tern,Chlidonias leucopterus,Rare/Accidental
Forster's Tern,Sterna forsteri,Rare/Accidental
Arctic Tern,Sterna paradisaea,
Common Tern,Sterna hirundo,
Roseate Tern,Sterna dougallii,Rare/Accidental
Sandwich Tern,Thalasseus sandvicensis,Rare/Accidental
Royal Tern,Thalasseus maximus,Rare/Accidental
,,
PHAETHONTIFORMES: Phaethontidae,,
White-tailed Tropicbird,Phaethon lepturus,Rare/Accidental
,,
GAVIIFORMES: Gaviidae,,
Red-throated Loon,Gavia stellata,
Pacific Loon,Gavia pacifica,Rare/Accidental
Common Loon,Gavia immer,
Yellow-billed Loon,Gavia adamsii,Rare/Accidental
,,
PROCELLARIIFORMES: Diomedeidae,,
Black-browed Albatross,Thalassarche melanophris,Rare/Accidental
,,
PROCELLARIIFORMES: Oceanitidae,,
Wilson's Storm-Petrel,Oceanites oceanicus,
,,
PROCELLARIIFORMES: Hydrobatidae,,
Leach's Storm-Petrel,Hydrobates leucorhous,
,,
PROCELLARIIFORMES: Procellariidae,,
Northern Fulmar,Fulmarus glacialis,
Fea's Petrel,Pterodroma feae,Rare/Accidental
Cory's Shearwater,Calonectris diomedea,Rare/Accidental
Great Shearwater,Ardenna gravis,
Sooty Shearwater,Ardenna grisea,
Manx Shearwater,Puffinus puffinus,
,,
SULIFORMES: Fregatidae,,
Magnificent Frigatebird,Fregata magnificens,Rare/Accidental
,,
SULIFORMES: Sulidae,,
Northern Gannet,Morus bassanus,
Brown Booby,Sula leucogaster,Rare/Accidental
,,
SULIFORMES: Phalacrocoracidae,,
Great Cormorant,Phalacrocorax carbo,
Double-crested Cormorant,Nannopterum auritum,
,,
PELECANIFORMES: Pelecanidae,,
American White Pelican,Pelecanus erythrorhynchos,Rare/Accidental
Brown Pelican,Pelecanus occidentalis,Rare/Accidental
,,
PELECANIFORMES: Ardeidae,,
American Bittern,Botaurus lentiginosus,
Least Bittern,Ixobrychus exilis,Rare/Accidental
Yellow-crowned Night Heron,Nyctanassa violacea,Rare/Accidental
Black-crowned Night Heron,Nycticorax nycticorax,Rare/Accidental
Little Blue Heron,Egretta caerulea,Rare/Accidental
Tricolored Heron,Egretta tricolor,Rare/Accidental
Snowy Egret,Egretta thula,Rare/Accidental
Little Egret,Egretta garzetta,Rare/Accidental
Western Reef-Heron,Egretta gularis,Rare/Accidental
Green Heron,Butorides virescens,Rare/Accidental
Western Cattle Egret,Bubulcus ibis,Rare/Accidental
Great Egret,Ardea alba,Rare/Accidental
Gray Heron,Ardea cinerea,Rare/Accidental
Great Blue Heron,Ardea herodias,
,,
PELECANIFORMES: Threskiornithidae,,
Glossy Ibis,Plegadis falcinellus,Rare/Accidental
,,
CATHARTIFORMES: Cathartidae,,
Black Vulture,Coragyps atratus,Rare/Accidental
Turkey Vulture,Cathartes aura,Rare/Accidental
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
Golden Eagle,Aquila chrysaetos,Rare/Accidental
Northern Harrier,Circus hudsonius,
Sharp-shinned Hawk,Accipiter striatus,
Eurasian Goshawk,Accipiter gentilis,Rare/Accidental
American Goshawk,Accipiter atricapillus,
Black Kite,Milvus migrans,Introduced species
Steller's Sea-Eagle,Haliaeetus pelagicus,Rare/Accidental
Bald Eagle,Haliaeetus leucocephalus,
Broad-winged Hawk,Buteo platypterus,Rare/Accidental
Swainson's Hawk,Buteo swainsoni,Rare/Accidental
Red-tailed Hawk,Buteo jamaicensis,Rare/Accidental
Rough-legged Hawk,Buteo lagopus,
,,
STRIGIFORMES: Tytonidae,,
Barn Owl,Tyto alba,Rare/Accidental
,,
STRIGIFORMES: Strigidae,,
Snowy Owl,Bubo scandiacus,
Great Horned Owl,Bubo virginianus,
Northern Hawk Owl,Surnia ulula,
Barred Owl,Strix varia,Rare/Accidental
Great Gray Owl,Strix nebulosa,Rare/Accidental
Long-eared Owl,Asio otus,Rare/Accidental
Short-eared Owl,Asio flammeus,
Boreal Owl,Aegolius funereus,
Northern Saw-whet Owl,Aegolius acadicus,Rare/Accidental
,,
CORACIIFORMES: Alcedinidae,,
Belted Kingfisher,Megaceryle alcyon,
,,
PICIFORMES: Picidae,,
Yellow-bellied Sapsucker,Sphyrapicus varius,
Lewis's Woodpecker,Melanerpes lewis,Rare/Accidental
Red-headed Woodpecker,Melanerpes erythrocephalus,Rare/Accidental
Red-bellied Woodpecker,Melanerpes carolinus,Rare/Accidental
American Three-toed Woodpecker,Picoides dorsalis,
Black-backed Woodpecker,Picoides arcticus,
Downy Woodpecker,Dryobates pubescens,
Hairy Woodpecker,Dryobates villosus,
Northern Flicker,Colaptes auratus,
,,
FALCONIFORMES: Falconidae,,
American Kestrel,Falco sparverius,
Merlin,Falco columbarius,
Gyrfalcon,Falco rusticolus,
Peregrine Falcon,Falco peregrinus,
,,
PASSERIFORMES: Tyrannidae,,
Olive-sided Flycatcher,Contopus cooperi,
Eastern Wood-Pewee,Contopus virens,Rare/Accidental
Yellow-bellied Flycatcher,Empidonax flaviventris,
Alder Flycatcher,Empidonax alnorum,
Willow Flycatcher,Empidonax traillii,Rare/Accidental
Least Flycatcher,Empidonax minimus,
Eastern Phoebe,Sayornis phoebe,Rare/Accidental
Say's Phoebe,Sayornis saya,Rare/Accidental
Vermilion Flycatcher,Pyrocephalus rubinus,Rare/Accidental
Ash-throated Flycatcher,Myiarchus cinerascens,Rare/Accidental
Great Crested Flycatcher,Myiarchus crinitus,Rare/Accidental
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,Rare/Accidental
Western Kingbird,Tyrannus verticalis,Rare/Accidental
Eastern Kingbird,Tyrannus tyrannus,
Scissor-tailed Flycatcher,Tyrannus forficatus,Rare/Accidental
Fork-tailed Flycatcher,Tyrannus savana,Rare/Accidental
,,
PASSERIFORMES: Vireonidae,,
White-eyed Vireo,Vireo griseus,Rare/Accidental
Yellow-throated Vireo,Vireo flavifrons,Rare/Accidental
Blue-headed Vireo,Vireo solitarius,
Philadelphia Vireo,Vireo philadelphicus,
Warbling Vireo,Vireo gilvus,Rare/Accidental
Red-eyed Vireo,Vireo olivaceus,
,,
PASSERIFORMES: Laniidae,,
Northern Shrike,Lanius borealis,
,,
PASSERIFORMES: Corvidae,,
Canada Jay,Perisoreus canadensis,
Blue Jay,Cyanocitta cristata,
Black-billed Magpie,Pica hudsonia,Rare/Accidental
Eurasian Jackdaw,Corvus monedula,Rare/Accidental
American Crow,Corvus brachyrhynchos,
Common Raven,Corvus corax,
,,
PASSERIFORMES: Paridae,,
Black-capped Chickadee,Poecile atricapillus,
Boreal Chickadee,Poecile hudsonicus,
,,
PASSERIFORMES: Alaudidae,,
Horned Lark,Eremophila alpestris,
,,
PASSERIFORMES: Hirundinidae,,
Bank Swallow,Riparia riparia,
Tree Swallow,Tachycineta bicolor,
Violet-green Swallow,Tachycineta thalassina,Rare/Accidental
Purple Martin,Progne subis,Rare/Accidental
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Rare/Accidental
Barn Swallow,Hirundo rustica,Rare/Accidental
Cliff Swallow,Petrochelidon pyrrhonota,Rare/Accidental
Cave Swallow,Petrochelidon fulva,Rare/Accidental
,,
PASSERIFORMES: Regulidae,,
Ruby-crowned Kinglet,Corthylio calendula,
Golden-crowned Kinglet,Regulus satrapa,
,,
PASSERIFORMES: Sittidae,,
White-breasted Nuthatch,Sitta carolinensis,Rare/Accidental
Red-breasted Nuthatch,Sitta canadensis,
,,
PASSERIFORMES: Certhiidae,,
Brown Creeper,Certhia americana,
,,
PASSERIFORMES: Polioptilidae,,
Blue-gray Gnatcatcher,Polioptila caerulea,Rare/Accidental
,,
PASSERIFORMES: Troglodytidae,,
Rock Wren,Salpinctes obsoletus,Rare/Accidental
House Wren,Troglodytes aedon,Rare/Accidental
Winter Wren,Troglodytes hiemalis,
Marsh Wren,Cistothorus palustris,Rare/Accidental
Carolina Wren,Thryothorus ludovicianus,Rare/Accidental
,,
PASSERIFORMES: Sturnidae,,
European Starling,Sturnus vulgaris,Introduced species
,,
PASSERIFORMES: Mimidae,,
Gray Catbird,Dumetella carolinensis,Rare/Accidental
Brown Thrasher,Toxostoma rufum,Rare/Accidental
Northern Mockingbird,Mimus polyglottos,
,,
PASSERIFORMES: Turdidae,,
Eastern Bluebird,Sialia sialis,Rare/Accidental
Mountain Bluebird,Sialia currucoides,Rare/Accidental
Townsend's Solitaire,Myadestes townsendi,Rare/Accidental
Varied Thrush,Ixoreus naevius,Rare/Accidental
Veery,Catharus fuscescens,
Gray-cheeked Thrush,Catharus minimus,
Swainson's Thrush,Catharus ustulatus,
Hermit Thrush,Catharus guttatus,
Wood Thrush,Hylocichla mustelina,Rare/Accidental
Redwing,Turdus iliacus,Rare/Accidental
Eurasian Blackbird,Turdus merula,Rare/Accidental
American Robin,Turdus migratorius,
Fieldfare,Turdus pilaris,Rare/Accidental
,,
PASSERIFORMES: Muscicapidae,,
Northern Wheatear,Oenanthe oenanthe,Rare/Accidental
,,
PASSERIFORMES: Bombycillidae,,
Bohemian Waxwing,Bombycilla garrulus,
Cedar Waxwing,Bombycilla cedrorum,
,,
PASSERIFORMES: Passeridae,,
House Sparrow,Passer domesticus,Introduced species
,,
PASSERIFORMES: Motacillidae,,
White Wagtail,Motacilla alba,Rare/Accidental
American Pipit,Anthus rubescens,
,,
PASSERIFORMES: Fringillidae,,
Common Chaffinch,Fringilla coelebs,Rare/Accidental
Brambling,Fringilla montifringilla,Rare/Accidental
Evening Grosbeak,Coccothraustes vespertinus,
Pine Grosbeak,Pinicola enucleator,
Purple Finch,Haemorhous purpureus,
Common Redpoll,Acanthis flammea,
Hoary Redpoll,Acanthis hornemanni,Rare/Accidental
Red Crossbill,Loxia curvirostra,
White-winged Crossbill,Loxia leucoptera,
Eurasian Siskin,Spinus spinus,Introduced species
Pine Siskin,Spinus pinus,
American Goldfinch,Spinus tristis,
,,
PASSERIFORMES: Calcariidae,,
Lapland Longspur,Calcarius lapponicus,
Chestnut-collared Longspur,Calcarius ornatus,Rare/Accidental
Snow Bunting,Plectrophenax nivalis,
,,
PASSERIFORMES: Emberizidae,,
Yellow-breasted Bunting,Emberiza aureola,Rare/Accidental
,,
PASSERIFORMES: Passerellidae,,
Grasshopper Sparrow,Ammodramus savannarum,Rare/Accidental
Chipping Sparrow,Spizella passerina,
Clay-colored Sparrow,Spizella pallida,Rare/Accidental
Field Sparrow,Spizella pusilla,Rare/Accidental
Lark Sparrow,Chondestes grammacus,Rare/Accidental
American Tree Sparrow,Spizelloides arborea,
Fox Sparrow,Passerella iliaca,
Dark-eyed Junco,Junco hyemalis,
White-crowned Sparrow,Zonotrichia leucophrys,
Golden-crowned Sparrow,Zonotrichia atricapilla,Rare/Accidental
Harris's Sparrow,Zonotrichia querula,Rare/Accidental
White-throated Sparrow,Zonotrichia albicollis,
Vesper Sparrow,Pooecetes gramineus,Rare/Accidental
Nelson's Sparrow,Ammospiza nelsoni,Rare/Accidental
Savannah Sparrow,Passerculus sandwichensis,
Song Sparrow,Melospiza melodia,
Lincoln's Sparrow,Melospiza lincolnii,
Swamp Sparrow,Melospiza georgiana,
Spotted Towhee,Pipilo maculatus,Rare/Accidental
Eastern Towhee,Pipilo erythrophthalmus,Rare/Accidental
,,
PASSERIFORMES: Icteriidae,,
Yellow-breasted Chat,Icteria virens,Rare/Accidental
,,
PASSERIFORMES: Icteridae,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare/Accidental
Bobolink,Dolichonyx oryzivorus,
Western Meadowlark,Sturnella neglecta,Rare/Accidental
Eastern Meadowlark,Sturnella magna,
Orchard Oriole,Icterus spurius,Rare/Accidental
Bullock's Oriole,Icterus bullockii,Rare/Accidental
Baltimore Oriole,Icterus galbula,
Red-winged Blackbird,Agelaius phoeniceus,
Brown-headed Cowbird,Molothrus ater,
Rusty Blackbird,Euphagus carolinus,
Brewer's Blackbird,Euphagus cyanocephalus,Rare/Accidental
Common Grackle,Quiscalus quiscula,
,,
PASSERIFORMES: Parulidae,,
Ovenbird,Seiurus aurocapilla,
Worm-eating Warbler,Helmitheros vermivorum,Rare/Accidental
Northern Waterthrush,Parkesia noveboracensis,
Golden-winged Warbler,Vermivora chrysoptera,Rare/Accidental
Blue-winged Warbler,Vermivora cyanoptera,Rare/Accidental
Black-and-white Warbler,Mniotilta varia,
Prothonotary Warbler,Protonotaria citrea,Rare/Accidental
Tennessee Warbler,Leiothlypis peregrina,
Orange-crowned Warbler,Leiothlypis celata,
Nashville Warbler,Leiothlypis ruficapilla,Rare/Accidental
Virginia's Warbler,Leiothlypis virginiae,Rare/Accidental
Connecticut Warbler,Oporornis agilis,Rare/Accidental
MacGillivray's Warbler,Geothlypis tolmiei,Rare/Accidental
Mourning Warbler,Geothlypis philadelphia,
Kentucky Warbler,Geothlypis formosa,Rare/Accidental
Common Yellowthroat,Geothlypis trichas,
Hooded Warbler,Setophaga citrina,Rare/Accidental
American Redstart,Setophaga ruticilla,
Cape May Warbler,Setophaga tigrina,Rare/Accidental
Cerulean Warbler,Setophaga cerulea,Rare/Accidental
Northern Parula,Setophaga americana,Rare/Accidental
Magnolia Warbler,Setophaga magnolia,
Bay-breasted Warbler,Setophaga castanea,
Blackburnian Warbler,Setophaga fusca,
Yellow Warbler,Setophaga petechia,
Chestnut-sided Warbler,Setophaga pensylvanica,Rare/Accidental
Blackpoll Warbler,Setophaga striata,
Black-throated Blue Warbler,Setophaga caerulescens,Rare/Accidental
Palm Warbler,Setophaga palmarum,
Pine Warbler,Setophaga pinus,Rare/Accidental
Yellow-rumped Warbler,Setophaga coronata,
Yellow-throated Warbler,Setophaga dominica,Rare/Accidental
Prairie Warbler,Setophaga discolor,Rare/Accidental
Black-throated Gray Warbler,Setophaga nigrescens,Rare/Accidental
Townsend's Warbler,Setophaga townsendi,Rare/Accidental
Hermit Warbler,Setophaga occidentalis,Rare/Accidental
Black-throated Green Warbler,Setophaga virens,
Canada Warbler,Cardellina canadensis,Rare/Accidental
Wilson's Warbler,Cardellina pusilla,
,,
PASSERIFORMES: Cardinalidae,,
Summer Tanager,Piranga rubra,Rare/Accidental
Scarlet Tanager,Piranga olivacea,Rare/Accidental
Western Tanager,Piranga ludoviciana,Rare/Accidental
Northern Cardinal,Cardinalis cardinalis,Rare/Accidental
Rose-breasted Grosbeak,Pheucticus ludovicianus,
Black-headed Grosbeak,Pheucticus melanocephalus,Rare/Accidental
Blue Grosbeak,Passerina caerulea,Rare/Accidental
Lazuli Bunting,Passerina amoena,Rare/Accidental
Indigo Bunting,Passerina cyanea,Rare/Accidental
Painted Bunting,Passerina ciris,Rare/Accidental
Dickcissel,Spiza americana,Rare/Accidental
,,
PASSERIFORMES: Thraupidae,,
Lesson's Seedeater,Sporophila bouvronides,Rare/Accidental
,,
,,
References (partial list),,
ABA Blog. http://blog.aba.org/ [Species records],,
"American Ornithologists' Union. 1998 and supplements. Check-list of North American birds. 7th edition. Washington, D.C.: AOU. http://checklist.aou.org/ [Species records]",,
Bird Studies Canada. 2015-2021. NatureCounts. http://www.birdscanada.org/birdmon/default/datasummaries.jsp [Species records],,
"BirdLife International and NatureServe (2011) Bird species distribution maps of the world. BirdLife International, Cambridge, UK and NatureServe, Arlington, USA. http://datazone.birdlife.org/species/requestdis [Species records]",,
"Clements, J. F., P. C. Rasmussen, T. S. Schulenberg, M. J. Iliff, T. A. Fredericks, J. A. Gerbracht, D. Lepage, A. Spencer, S. M. Billerman, B. L. Sullivan, and C. L. Wood. 2023. The eBird/Clements checklist of Birds of the World: v2023. Downloaded from https://www.birds.cornell.edu/clementschecklist/download/ https://www.birds.cornell.edu/clementschecklist/ [Taxonomy]",,
Cornell Lab of Ornithology. 2011-2018. eBird Basic Dataset (EBD) http://www.ebird.org/ [Species records],,
Cornell Lab of Ornithology. 2011-2018. eBird (sensitive species records). http://www.ebird.org/ [Species records],,
Cornell Lab of Ornithology. 2011-2018. eBird. http://www.ebird.org/ [Species records],,
"del Hoyo, Josep (ed.), Elliott, A (ed.), Sargatal, J (ed.) (vol. 1–7), and Christie, DA (ed.) (vol. 8–16). 1992–2013. Handbook of the Birds of the World. Lynx Edicions. http://www.hbw.com/ [Species records]",,
"Dickinson, EC (Ed.), Remsen Jr., JV (Ed). 2013. The Howard and Moore Complete Checklist of the Birds of the World. Aves Press. [Species records]",,
Facebook ABA Rare Bird Alert https://www.facebook.com/groups/ABArare/ [Species records],,
Facebook Global Rare Bird Alert. https://www.facebook.com/groups/GlobalRBA/ [Species records],,
"Fenneman, Jamie. 2011. Checklist of the Birds of British Columbia. Updated: January 2011. http://www.geog.ubc.ca/biodiversity/efauna/documents/BCBirdChecklistJan2011.pdf [Species records]",,
"Gill, F and D Donsker (Eds). 2012. IOC World Bird Names (version 3.02). Available at http://www.worldbirdnames.org/ http://worldbirdnames.org/ [Species records]",,
Godfrey WE. 1986 Birds of Canada.(revised Edition). National Museum of Natural Sciences (Canada) [Species records],,
"Holder, M. and J. Trimble. 2003. A Review of Canada’s Only Record of Common Snipe.Birders Journal Volume 12, No. 3, June and July 2003. p123 - 127. http://birdersjournal.ca/wp-content/uploads/2016/02/common-snipe.pdf [Distribution]",,
"Howard, Richard & Alick Moore (1991) A Complete Checklist of the Birds of the World. 360 p. [Species records]",,
http://naturenl.ca/wp-content/uploads/2011/06/bird_checklist.pdf [Distribution],,
http://www.nhs.nf.ca/cbc_etc/checklist.htm [Distribution],,
"James F. Clements. 2000 and revisions. Birds of the World - A Checklist. 5th edition. Ibis Publishing Company, 2000. [Species records]",,
Lynx edition. 2017-2018. First Country Reports. http://www.hbw.com/news/first-country-reports [Species records],,
"Muséum national d'Histoire naturelle [Ed]. 2003-2015. Inventaire national du Patrimoine naturel, site Web : http://inpn.mnhn.fr http://inpn.mnhn.fr/collTerr/indexTerritoire [Species records]",,
"Peters, J. L. 1931-1987. Check-list of Birds of the World. 15 vols. + Index. Harvard Press. http://www.biodiversitylibrary.org/bibliography/14581 [Species records]",,
The Bruce Mactavish Newfoundland Birding Blog http://brucemactavish1.blogspot.ca [Distribution],,
Xeno-canto.org https://xeno-canto.org [Species records],,
,,
"Avibase has been visited 384,008,834 times since 24 June 2003. © Denis Lepage | Privacy policy",,
