ScientificName1974,CommonName1974,Alternate name,Family1974,ScientificName2023,CommonName2023,Alternate name,Family2023
Cinclodes oustaleti,Gray-flanked Cinclodes,,Furnariidae,,,,
,,,,Cinclodes oustaleti,Gray-flanked Cinclodes,Cinclode d'Oustalet,Furnariidae
,,,,Cinclodes olrogi,Olrog's Cinclodes,Cinclode d'Olrog,Furnariidae
Cinclodes excelsior,Stout-billed Cinclodes,,Furnariidae,,,,
,,,,Cinclodes excelsior,Stout-billed Cinclodes,Cinclode du paramo,Furnariidae
,,,,Cinclodes aricomae,Royal Cinclodes,Cinclode royal,Furnariidae
Chilia melanura,Crag Chilia,,Furnariidae,Ochetorhynchus melanurus,Crag Chilia,Chilia des rochers,Furnariidae
Furnarius leucopus,Pale-legged Hornero,,Furnariidae,,,,
,,,,Furnarius leucopus,Pale-legged Hornero,Fournier variable,Furnariidae
,,,,Furnarius longirostris,Caribbean Hornero,Fournier du Venezuela,Furnariidae
,,,,Furnarius cinnamomeus,Pacific Hornero,Fournier cannelle,Furnariidae
Sylviorthorhynchus desmursii,Des Murs' Wiretail,,Furnariidae,Sylviorthorhynchus desmursii,Des Murs's Wiretail,Synallaxe de Des Murs,Furnariidae
Aphrastura masafuerae,Mas Afuera Rayadito,,Furnariidae,Aphrastura masafuerae,Masafuera Rayadito,Synallaxe de Mas Afuera,Furnariidae
Leptasthenura yanacensis,Tawny Tit-Spinetail,,Furnariidae,Sylviorthorhynchus yanacensis,Tawny Tit-Spinetail,Synallaxe fauve,Furnariidae
,,,,Asthenes perijana,Perija Thistletail,Synallaxe de la Perija,Furnariidae
Schizoeaca coryi,Ochre-browed Thistletail,,Furnariidae,Asthenes coryi,Ochre-browed Thistletail,Synallaxe de Cory,Furnariidae
Schizoeaca fuliginosa,White-chinned Thistletail,,Furnariidae,,,,
,,,,Asthenes fuliginosa,White-chinned Thistletail,Synallaxe à menton blanc,Furnariidae
Schizoeaca griseomurina,Mouse-colored Thistletail,,Furnariidae,Asthenes griseomurina,Mouse-colored Thistletail,Synallaxe souris,Furnariidae
Schizoeaca palpebralis,Eye-ringed Thistletail,,Furnariidae,Asthenes palpebralis,Eye-ringed Thistletail,Synallaxe à lunettes,Furnariidae
,,,,Asthenes vilcabambae,Vilcabamba Thistletail,Synallaxe de Vilcabamba,Furnariidae
,,,,Asthenes ayacuchensis,Ayacucho Thistletail,Synallaxe d'Ayacucho,Furnariidae
Schizoeaca helleri,Puna Thistletail,,Furnariidae,Asthenes helleri,Puna Thistletail,Synallaxe de Heller,Furnariidae
Schizoeaca harteri,Black-throated Thistletail,,Furnariidae,Asthenes harterti,Black-throated Thistletail,Synallaxe à gorge noire,Furnariidae
Schizoeaca moreirae,Itatiaia Thistletail,,Furnariidae,Asthenes moreirae,Itatiaia Spinetail,Synallaxe d'Itatiaia,Furnariidae
Synallaxis phryganophila,Chotoy Spinetail,,Furnariidae,Schoeniophylax phryganophilus,Chotoy Spinetail,Synallaxe damier,Furnariidae
,,,,Synallaxis ruficapilla,Rufous-capped Spinetail,Synallaxe à calotte rousse,Furnariidae
,,,,Synallaxis cinerea,Bahia Spinetail,Synallaxe du Bahia,Furnariidae
Synallaxis frontalis,Sooty-fronted Spinetail,,Furnariidae,,,,
,,,,Synallaxis frontalis,Sooty-fronted Spinetail,Synallaxe à front sombre,Furnariidae
Synallaxis poliophrys,Gray-browed Spinetail,,Furnariidae,,,,
,,,,Synallaxis azarae,Azara's Spinetail,Synallaxe d'Azara,Furnariidae
Synallaxis azarae,Azara's Spinetail,,Furnariidae,,,,
Synallaxis superciliosa,Buff-browed Spinetail,,Furnariidae,,,,
,,,,Synallaxis courseni,Apurimac Spinetail,Synallaxe de Coursen,Furnariidae
,,,,Synallaxis beverlyae,Rio Orinoco Spinetail,Synallaxe de Beverly,Furnariidae
Synallaxis spixi,Chicli Spinetail,,Furnariidae,Synallaxis spixi,Spix's Spinetail,Synallaxe de Spix,Furnariidae
Synallaxis brachyura,Slaty Spinetail,,Furnariidae,,,,
,,,,Synallaxis brachyura,Slaty Spinetail,Synallaxe ardoisé,Furnariidae
,,,,Synallaxis infuscata,Pinto's Spinetail,Synallaxe de Pinto,Furnariidae
,,,,Synallaxis macconnelli,McConnell's Spinetail,Synallaxe de McConnell,Furnariidae
Synallaxis cabanisi,Cabanis' Spinetail,,Furnariidae,Synallaxis cabanisi,Cabanis's Spinetail,Synallaxe de Cabanis,Furnariidae
Synallaxis propinqua,White-bellied Spinetail,,Furnariidae,Mazaria propinqua,White-bellied Spinetail,Synallaxe à ventre blanc,Furnariidae
,,,,Synallaxis maranonica,Marañon Spinetail,Synallaxe du Maranon,Furnariidae
Synallaxis gujanensis,Plain-crowned Spinetail,,Furnariidae,,,,
,,,,Synallaxis gujanensis,Plain-crowned Spinetail,Synallaxe de Cayenne,Furnariidae
,,,,Synallaxis albilora,White-lored Spinetail,Synallaxe ocré,Furnariidae
,,,,Synallaxis simoni,Araguaia Spinetail,Synallaxe de Simon,Furnariidae
Synallaxis unirufa,Rufous Spinetail,,Furnariidae,,,,
,,,,Synallaxis unirufa,Rufous Spinetail,Synallaxe roux,Furnariidae
,,,,Synallaxis castanea,Black-throated Spinetail,Synallaxe de Vaurie,Furnariidae
Synallaxis stictothorax,Necklaced Spinetail,,Furnariidae,,,,
,,,,Synallaxis stictothorax,Necklaced Spinetail,Synallaxe à collier,Furnariidae
,,,,Synallaxis chinchipensis,Chinchipe Spinetail,Synallaxe du Chinchipe,Furnariidae
Synallaxis gularis,White-browed Spinetail,,Furnariidae,Hellmayrea gularis,White-browed Spinetail,Synallaxe à sourcils blancs,Furnariidae
Certhiaxis erythrops,Red-faced Spinetail,,Furnariidae,Cranioleuca erythrops,Red-faced Spinetail,Synallaxe à face rouge,Furnariidae
Certhiaxis antisiensis,Line-cheeked Spinetail,,Furnariidae,Cranioleuca antisiensis,Line-cheeked Spinetail,Synallaxe grimpeur,Furnariidae
Certhiaxis pallida,Pallid Spinetail,,Furnariidae,Cranioleuca pallida,Pallid Spinetail,Synallaxe pâle,Furnariidae
,,,,Cranioleuca curtata,Ash-browed Spinetail,Synallaxe à sourcils gris,Furnariidae
Certhiaxis curtata,Ash-browed Spinetail,,Furnariidae,,,,
Cranioleuca furcata,Fork-tailed Spinetail,,Furnariidae,,,,
Certhiaxis demissa,Tepui Spinetail,,Furnariidae,Cranioleuca demissa,Tepui Spinetail,Synallaxe des tépuis,Furnariidae
Certhiaxis hellmayri,Streak-capped Spinetail,,Furnariidae,Cranioleuca hellmayri,Streak-capped Spinetail,Synallaxe des broméliades,Furnariidae
Certhiaxis subcristata,Crested Spinetail,,Furnariidae,Cranioleuca subcristata,Crested Spinetail,Synallaxe huppé,Furnariidae
Certhiaxis pyrrhophia,Stripe-crowned Spinetail,,Furnariidae,Cranioleuca pyrrhophia,Stripe-crowned Spinetail,Synallaxe à calotte rayée,Furnariidae
Certhiaxis obsoleta,Olive Spinetail,,Furnariidae,Cranioleuca obsoleta,Olive Spinetail,Synallaxe olive,Furnariidae
Certhiaxis marcapatae,Marcapata Spinetail,,Furnariidae,Cranioleuca marcapatae,Marcapata Spinetail,Synallaxe de Marcapata,Furnariidae
Certhiaxis albiceps,Light-crowned Spinetail,,Furnariidae,Cranioleuca albiceps,Light-crowned Spinetail,Synallaxe à bandeaux,Furnariidae
Certhiaxis semicinerea,Gray-headed Spinetail,,Furnariidae,Cranioleuca semicinerea,Gray-headed Spinetail,Synallaxe à tête grise,Furnariidae
Certhiaxis albicapilla,Creamy-crested Spinetail,,Furnariidae,Cranioleuca albicapilla,Creamy-crested Spinetail,Synallaxe à calotte blanche,Furnariidae
,,,,Cranioleuca dissita,Coiba Spinetail,Synallaxe de Coiba,Furnariidae
Certhiaxis vulpina,Rusty-backed Spinetail,,Furnariidae,,,,
,,,,Cranioleuca vulpina,Rusty-backed Spinetail,Synallaxe renard,Furnariidae
,,,,Cranioleuca vulpecula,Parker's Spinetail,Synallaxe de Parker,Furnariidae
Certhiaxis muelleri,Scaled Spinetail,,Furnariidae,Cranioleuca muelleri,Scaled Spinetail,Synallaxe écaillé,Furnariidae
Certhiaxis gutturata,Speckled Spinetail,,Furnariidae,Thripophaga gutturata,Speckled Spinetail,Synallaxe ponctué,Furnariidae
Certhiaxis sulphurifera,Sulphur-bearded Spinetail,,Furnariidae,Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,Synallaxe soufré,Furnariidae
,,,,Cranioleuca henricae,Bolivian Spinetail,Synallaxe d'Inquisivi,Furnariidae
Certhiaxis cinnamomea,Yellow-chinned Spinetail,,Furnariidae,Certhiaxis cinnamomeus,Yellow-chinned Spinetail,Synallaxe à gorge jaune,Furnariidae
Certhiaxis mustelina,Red-and-white Spinetail,,Furnariidae,Certhiaxis mustelinus,Red-and-white Spinetail,Synallaxe belette,Furnariidae
Thripophaga pyrrholeuca,Lesser Canastero,,Furnariidae,Asthenes pyrrholeuca,Sharp-billed Canastero,Synallaxe vannier,Furnariidae
Thripophaga baeri,Short-billed Canastero,,Furnariidae,Asthenes baeri,Short-billed Canastero,Synallaxe à bec court,Furnariidae
Thripophaga pudibunda,Canyon Canastero,,Furnariidae,Asthenes pudibunda,Canyon Canastero,Synallaxe des canyons,Furnariidae
Thripophaga ottonis,Rusty-fronted Canastero,,Furnariidae,Asthenes ottonis,Rusty-fronted Canastero,Synallaxe à front rouille,Furnariidae
Thripophaga heterura,Iquico Canastero,,Furnariidae,Asthenes heterura,Maquis Canastero,Synallaxe d'Iquico,Furnariidae
Thripophaga cactorum,Cactus Canastero,,Furnariidae,Pseudasthenes cactorum,Cactus Canastero,Synallaxe des cactus,Furnariidae
Thripophaga modesta,Cordilleran Canastero,,Furnariidae,Asthenes modesta,Cordilleran Canastero,Synallaxe des rocailles,Furnariidae
Thripophaga dorbignyi,Creamy-breasted Canastero,,Furnariidae,Asthenes dorbignyi,Creamy-breasted Canastero,Synallaxe de d'Orbigny,Furnariidae
Thripophaga berlepschi,Berlepsch's Canastero,,Furnariidae,Asthenes berlepschi,Berlepsch's Canastero,Synallaxe de Berlepsch,Furnariidae
Thripophaga steinbachi,Chestnut Canastero,,Furnariidae,Pseudasthenes steinbachi,Steinbach's Canastero,Synallaxe marron,Furnariidae
Thripophaga humicola,Dusky-tailed Canastero,,Furnariidae,Pseudasthenes humicola,Dusky-tailed Canastero,Synallaxe à queue noire,Furnariidae
Thripophaga patagonica,Patagonian Canastero,,Furnariidae,Pseudasthenes patagonica,Patagonian Canastero,Synallaxe de Patagonie,Furnariidae
Thripophaga humilis,Streak-throated Canastero,,Furnariidae,Asthenes humilis,Streak-throated Canastero,Synallaxe terrestre,Furnariidae
,,,,Asthenes wyatti,Streak-backed Canastero,Synallaxe de Wyatt,Furnariidae
Thripophaga wyatti,Streak-backed Canastero,,Furnariidae,,,,
Thripophaga sclateri,Cordoba Canastero,,Furnariidae,,,,
Thripophaga anthoides,Austral Canastero,,Furnariidae,Asthenes anthoides,Austral Canastero,Synallaxe austral,Furnariidae
Thripophaga urubambensis,Line-fronted Canastero,,Furnariidae,Asthenes urubambensis,Line-fronted Canastero,Synallaxe inca,Furnariidae
Thripophaga flammulata,Many-striped Canastero,,Furnariidae,Asthenes flammulata,Many-striped Canastero,Synallaxe flammé,Furnariidae
Thripophaga virgata,Junin Canastero,,Furnariidae,Asthenes virgata,Junin Canastero,Synallaxe de Junin,Furnariidae
Thripophaga maculicauda,Scribble-tailed Canastero,,Furnariidae,Asthenes maculicauda,Scribble-tailed Canastero,Synallaxe à queue marbrée,Furnariidae
Thripophaga hudsoni,Hudson's Canastero,,Furnariidae,Asthenes hudsoni,Hudson's Canastero,Synallaxe de Hudson,Furnariidae
,,,,Asthenes luizae,Cipo Canastero,Synallaxe du Cipo,Furnariidae
,,,,Thripophaga amacurensis,Delta Amacuro Softtail,Synallaxe du Delta Amacuro,Furnariidae
Phacellodomus berlepschi,Russet-mantled Softtail,,Furnariidae,Cranioleuca berlepschi,Russet-mantled Softtail,Synallaxe mantelé,Furnariidae
Phacellodomus fusciceps,Plain Softtail,,Furnariidae,Thripophaga fusciceps,Plain Softtail,Synallaxe terne,Furnariidae
Thripophaga hypochondriacus,Great Spinetail,,Furnariidae,Synallaxis hypochondriaca,Great Spinetail,Synallaxe à poitrine rayée,Furnariidae
Phacellodomus rufifrons,Rufous-fronted Thornbird,,Furnariidae,,,,
,,,,Phacellodomus rufifrons,Rufous-fronted Thornbird,Synallaxe à front roux,Furnariidae
,,,,Phacellodomus inornatus,Plain Thornbird,Synallaxe blafard,Furnariidae
Phacellodomus striaticollis,Freckle-breasted Thornbird,,Furnariidae,,,,
,,,,Phacellodomus striaticollis,Freckle-breasted Thornbird,Synallaxe rousselé,Furnariidae
,,,,Phacellodomus maculipectus,Spot-breasted Thornbird,Synallaxe maculé,Furnariidae
Phacellodomus erythrophthalmus,Red-eyed Thornbird,,Furnariidae,,,,
,,,,Phacellodomus erythrophthalmus,Orange-eyed Thornbird,Synallaxe aux yeux orangés,Furnariidae
,,,,Phacellodomus ferrugineigula,Orange-breasted Thornbird,Synallaxe à gorge rousse,Furnariidae
Phacellodomus dendrocolaptoides,Canebrake Groundcreeper,,Furnariidae,Clibanornis dendrocolaptoides,Canebrake Groundcreeper,Anabate des bambous,Furnariidae
Limnornis rectirostris,Straight-billed Reedhaunter,,Furnariidae,Limnoctites rectirostris,Straight-billed Reedhaunter,Synallaxe à bec droit,Furnariidae
Eremobius phoenicurus,Band-tailed Earthcreeper,,Furnariidae,Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,Chilia rougequeue,Furnariidae
Metopothrix aurantiacus,Orange-fronted Plushcrown,,Furnariidae,Metopothrix aurantiaca,Orange-fronted Plushcrown,Tête-de-feu pelucheux,Furnariidae
Margarornis adustus,Roraiman Barbtail,,Furnariidae,Roraimia adusta,Roraiman Barbtail,Pseudosittine du Roraima,Furnariidae
Margarornis guttuligera,Rusty-winged Barbtail,,Furnariidae,Premnornis guttuliger,Rusty-winged Barbtail,Premnornis à gouttelettes,Furnariidae
Margarornis brunnescens,Spotted Barbtail,,Furnariidae,Premnoplex brunnescens,Spotted Barbtail,Anabasitte tachetée,Furnariidae
Margarornis tatei,White-throated Barbtail,,Furnariidae,Premnoplex tatei,White-throated Barbtail,Anabasitte à gorge blanche,Furnariidae
Pseudoseisura cristata,Rufous-breasted Cacholote,,Furnariidae,,,,
,,,,Pseudoseisura cristata,Caatinga Cacholote,Cacholote roux,Furnariidae
,,,,Pseudoseisura unirufa,Rufous Cacholote,Cacholote uni,Furnariidae
Pseudocolaptes lawrencii,Buffy Tuftedcheek,,Furnariidae,,,,
,,,,Pseudocolaptes lawrencii,Buffy Tuftedcheek,Pseudocolapte chamois,Furnariidae
,,,,Pseudocolaptes johnsoni,Pacific Tuftedcheek,Pseudocolapte de Johnson,Furnariidae
Philydor strigilatus,Chestnut-winged Hookbill,,Furnariidae,Ancistrops strigilatus,Chestnut-winged Hookbill,Anabate à bec crochu,Furnariidae
Philydor leucophrys,Pale-browed Treehunter,,Furnariidae,Cichlocolaptes leucophrus,Pale-browed Treehunter,Anabate à sourcils blancs,Furnariidae
,,,,Cichlocolaptes mazarbarnetti,Cryptic Treehunter,Anabate de Mazar Barnett,Furnariidae
Philydor subulatus,Striped Woodhaunter,,Furnariidae,,,,
,,,,Automolus subulatus,Eastern Woodhaunter,Anabate forestier,Furnariidae
,,,,Automolus virgatus,Western Woodhaunter,Anabate de Lawrence,Furnariidae
Philydor guttulatus,Guttulated Foliage-gleaner,,Furnariidae,Syndactyla guttulata,Guttulate Foliage-gleaner,Anabate à gouttelettes,Furnariidae
Philydor subalaris,Lineated Foliage-gleaner,,Furnariidae,Syndactyla subalaris,Lineated Foliage-gleaner,Anabate vergeté,Furnariidae
Philydor rufosuperciliatus,Buff-browed Foliage-gleaner,,Furnariidae,Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,Anabate à sourcils fauves,Furnariidae
Philydor variegaticeps,Scaly-throated Foliage-gleaner,,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Anabate à lunettes,Furnariidae
Philydor striaticollis,Montane Foliage-gleaner,,Furnariidae,Anabacerthia striaticollis,Montane Foliage-gleaner,Anabate montagnard,Furnariidae
Philydor ruficaudatus,Rufous-tailed Foliage-gleaner,,Furnariidae,Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,Anabate rougequeue,Furnariidae
Philydor dimidiatus,Russet-mantled Foliage-gleaner,,Furnariidae,Syndactyla dimidiata,Russet-mantled Foliage-gleaner,Anabate mantelé,Furnariidae
,,,,Philydor fuscipenne,Slaty-winged Foliage-gleaner,Anabate à ailes sombres,Furnariidae
Philydor erythrocercus,Rufous-rumped Foliage-gleaner,,Furnariidae,,,,
,,,,Philydor erythrocercum,Rufous-rumped Foliage-gleaner,Anabate à croupion roux,Furnariidae
Philydor erythropterus,Chestnut-winged Foliage-gleaner,,Furnariidae,Dendroma erythroptera,Chestnut-winged Foliage-gleaner,Anabate à ailes rousses,Furnariidae
Philydor amaurotis,White-browed Foliage-gleaner,,Furnariidae,Anabacerthia amaurotis,White-browed Foliage-gleaner,Anabate bridé,Furnariidae
Philydor lichtensteini,Ochre-breasted Foliage-gleaner,,Furnariidae,Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,Anabate de Lichtenstein,Furnariidae
Philydor rufus,Buff-fronted Foliage-gleaner,,Furnariidae,Dendroma rufa,Buff-fronted Foliage-gleaner,Anabate roux,Furnariidae
Philydor atricapillus,Black-capped Foliage-gleaner,,Furnariidae,,,,
,,,,Philydor atricapillus,Black-capped Foliage-gleaner,Anabate à tête noire,Furnariidae
,,,,Philydor novaesi,Alagoas Foliage-gleaner,Anabate d'Alagoas,Furnariidae
Philydor striatus,Bolivian Recurvebill,,Furnariidae,Syndactyla striata,Bolivian Recurvebill,Anabate de Bolivie,Furnariidae
Philydor ucayalae,Peruvian Recurvebill,,Furnariidae,Syndactyla ucayalae,Peruvian Recurvebill,Anabate à bec retroussé,Furnariidae
Philydor fuscus,White-collared Foliage-gleaner,,Furnariidae,Anabazenops fuscus,White-collared Foliage-gleaner,Anabate à col blanc,Furnariidae
Thripadectes scrutator,Buff-throated Treehunter,,Furnariidae,Thripadectes scrutator,Rufous-backed Treehunter,Anabate inca,Furnariidae
Automolus ruficollis,Rufous-necked Foliage-gleaner,,Furnariidae,Syndactyla ruficollis,Rufous-necked Foliage-gleaner,Anabate à cou roux,Furnariidae
Automolus ochrolaemus,Buff-throated Foliage-gleaner,,Furnariidae,,,,
,,,,Automolus ochrolaemus,Ochre-throated Foliage-gleaner,Anabate à gorge fauve,Furnariidae
,,,,Automolus cervinigularis,Fawn-throated Foliage-gleaner,Anabate de Sclater,Furnariidae
,,,,Automolus exsertus,Chiriqui Foliage-gleaner,Anabate du Chiriqui,Furnariidae
Automolus dorsalis,Crested Foliage-gleaner,,Furnariidae,Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,Anabate à grands sourcils,Furnariidae
Automolus infuscatus,Olive-backed Foliage-gleaner,,Furnariidae,,,,
,,,,Automolus infuscatus,Olive-backed Foliage-gleaner,Anabate olivâtre,Furnariidae
,,,,Automolus paraensis,Para Foliage-gleaner,Anabate du Para,Furnariidae
Automolus leucophthalmus,White-eyed Foliage-gleaner,,Furnariidae,,,,
,,,,Automolus leucophthalmus,White-eyed Foliage-gleaner,Anabate aux yeux blancs,Furnariidae
,,,,Automolus lammi,Pernambuco Foliage-gleaner,Anabate du Pernambuco,Furnariidae
,,,,Syndactyla roraimae,White-throated Foliage-gleaner,Anabate à gorge blanche,Furnariidae
Automolus albigularis,White-throated Foliage-gleaner,,Furnariidae,,,,
Philydor hylobius,Neblina Foliage-gleaner,,Furnariidae,,,,
Automolus rubiginosus,Ruddy Foliage-gleaner,,Furnariidae,,,,
,,,,Clibanornis rubiginosus,Ruddy Foliage-gleaner,Anabate rubigineux,Furnariidae
,,,,Clibanornis rufipectus,Santa Marta Foliage-gleaner,Anabate de Santa Marta,Furnariidae
Automolus rectirostris,Chestnut-capped Foliage-gleaner,,Furnariidae,Clibanornis rectirostris,Chestnut-capped Foliage-gleaner,Anabate à bec droit,Furnariidae
Automolus erythrocephalus,Henna-hooded Foliage-gleaner,,Furnariidae,Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,Anabate à tête orange,Furnariidae
Sclerurus mexicanus,Tawny-throated Leafscraper,,Furnariidae,,,,
,,,,Sclerurus mexicanus,Middle American Leaftosser,Sclérure à gorge rousse,Furnariidae
,,,,Sclerurus obscurior,South American Leaftosser,Sclérure obscur,Furnariidae
Sclerurus rufigularis,Short-billed Leafscraper,,Furnariidae,Sclerurus rufigularis,Short-billed Leaftosser,Sclérure à bec court,Furnariidae
Sclerurus albigularis,Gray-throated Leafscraper,,Furnariidae,Sclerurus albigularis,Gray-throated Leaftosser,Sclérure à gorge grise,Furnariidae
Sclerurus caudacutus,Black-tailed Leafscraper,,Furnariidae,Sclerurus caudacutus,Black-tailed Leaftosser,Sclérure des ombres,Furnariidae
Sclerurus scansor,Rufous-breasted Leafscraper,,Furnariidae,Sclerurus scansor,Rufous-breasted Leaftosser,Sclérure à poitrine rousse,Furnariidae
Sclerurus guatemalensis,Scaly-throated Leafscraper,,Furnariidae,Sclerurus guatemalensis,Scaly-throated Leaftosser,Sclérure écaillé,Furnariidae
Sclerurus contaminatus,Sharp-billed Treehunter,,Furnariidae,Heliobletus contaminatus,Sharp-billed Treehunter,Anabate à bec fin,Furnariidae
Xenops milleri,Rufous-tailed Xenops,,Furnariidae,Microxenops milleri,Rufous-tailed Xenops,Microxénops à queue rousse,Furnariidae
,,,,Acrobatornis fonsecai,Pink-legged Graveteiro,Synallaxe à pattes roses,Furnariidae
Dendrocincla tyrannina,Tyrannine Woodcreeper,,Dendrocolaptidae,Dendrocincla tyrannina,Tyrannine Woodcreeper,Grimpar tyran,Furnariidae
Dendrocincla fuliginosa,Plain-brown Woodcreeper,,Dendrocolaptidae,,,,
,,,,Dendrocincla fuliginosa,Plain-brown Woodcreeper,Grimpar enfumé,Furnariidae
,,,,Dendrocincla turdina,Plain-winged Woodcreeper,Grimpar grive,Furnariidae
Dendrocincla anabatina,Tawny-winged Woodcreeper,,Dendrocolaptidae,Dendrocincla anabatina,Tawny-winged Woodcreeper,Grimpar à ailes rousses,Furnariidae
Dendrocincla merula,White-chinned Woodcreeper,,Dendrocolaptidae,Dendrocincla merula,White-chinned Woodcreeper,Grimpar à menton blanc,Furnariidae
Dendrocincla homochroa,Ruddy Woodcreeper,,Dendrocolaptidae,Dendrocincla homochroa,Ruddy Woodcreeper,Grimpar roux,Furnariidae
Deconychura longicauda,Long-tailed Woodcreeper,,Dendrocolaptidae,Deconychura longicauda,Long-tailed Woodcreeper,Grimpar à longue queue,Furnariidae
Deconychura stictolaema,Spot-throated Woodcreeper,,Dendrocolaptidae,Certhiasomus stictolaemus,Spot-throated Woodcreeper,Grimpar à gorge tachetée,Furnariidae
Sittasomus griseicapillus,Olivaceous Woodcreeper,,Dendrocolaptidae,Sittasomus griseicapillus,Olivaceous Woodcreeper,Grimpar fauvette,Furnariidae
Glyphorynchus spirurus,Wedge-billed Woodcreeper,,Dendrocolaptidae,Glyphorynchus spirurus,Wedge-billed Woodcreeper,Grimpar bec-en-coin,Furnariidae
Drymornis bridgesii,Scimitar-billed Woodcreeper,,Dendrocolaptidae,Drymornis bridgesii,Scimitar-billed Woodcreeper,Grimpar porte-sabre,Furnariidae
Nasica longirostris,Long-billed Woodcreeper,,Dendrocolaptidae,Nasica longirostris,Long-billed Woodcreeper,Grimpar nasican,Furnariidae
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,,Dendrocolaptidae,Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,Grimpar à collier,Furnariidae
Hylexetastes stresemanni,Bar-bellied Woodcreeper,,Dendrocolaptidae,Hylexetastes stresemanni,Bar-bellied Woodcreeper,Grimpar de Stresemann,Furnariidae
Hylexetastes perrotii,Red-billed Woodcreeper,,Dendrocolaptidae,,,,
,,,,Hylexetastes uniformis,Uniform Woodcreeper,Grimpar uni,Furnariidae
,,,,Hylexetastes perrotii,Red-billed Woodcreeper,Grimpar de Perrot,Furnariidae
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,,Dendrocolaptidae,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,Grimpar géant,Furnariidae
Xiphocolaptes albicollis,White-throated Woodcreeper,,Dendrocolaptidae,Xiphocolaptes albicollis,White-throated Woodcreeper,Grimpar à gorge blanche,Furnariidae
Xiphocolaptes franciscanus,Snethlage's Woodcreeper,,Dendrocolaptidae,,,,
,,,,Xiphocolaptes falcirostris,Moustached Woodcreeper,Grimpar à moustaches,Furnariidae
Xiphocolaptes falcirostris,Moustached Woodcreeper,,Dendrocolaptidae,,,,
Xiphocolaptes major,Great Rufous Woodcreeper,,Dendrocolaptidae,Xiphocolaptes major,Great Rufous Woodcreeper,Grand Grimpar,Furnariidae
,,,,Dendrocolaptes certhia,Amazonian Barred-Woodcreeper,Grimpar barré,Furnariidae
,,,,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Grimpar vermiculé,Furnariidae
Dendrocolaptes certhia,Barred Woodcreeper,,Dendrocolaptidae,,,,
Dendrocolaptes concolor,Concolor Woodcreeper,,Dendrocolaptidae,,,,
Dendrocolaptes hoffmannsi,Hoffmans' Woodcreeper,,Dendrocolaptidae,Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,Grimpar de Hoffmanns,Furnariidae
Dendrocolaptes picumnus,Black-banded Woodcreeper,,Dendrocolaptidae,Dendrocolaptes picumnus,Black-banded Woodcreeper,Grimpar varié,Furnariidae
Dendrocolaptes platyrostris,Planalto Woodcreeper,,Dendrocolaptidae,Dendrocolaptes platyrostris,Planalto Woodcreeper,Grimpar des plateaux,Furnariidae
Xiphorhynchus picus,Straight-billed Woodcreeper,,Dendrocolaptidae,,,,
,,,,Dendroplex picus,Straight-billed Woodcreeper,Grimpar talapiot,Furnariidae
,,,,Dendroplex kienerii,Zimmer's Woodcreeper,Grimpar de Zimmer,Furnariidae
Xiphorhynchus necopinus,Zimmer's Woodcreeper,,Dendrocolaptidae,,,,
Xiphorhynchus obsoletus,Striped Woodcreeper,,Dendrocolaptidae,Xiphorhynchus obsoletus,Striped Woodcreeper,Grimpar strié,Furnariidae
Xiphorhynchus ocellatus,Ocellated Woodcreeper,,Dendrocolaptidae,Xiphorhynchus ocellatus,Ocellated Woodcreeper,Grimpar ocellé,Furnariidae
Xiphorhynchus spixii,Spix's Woodcreeper,,Dendrocolaptidae,Xiphorhynchus spixii,Spix's Woodcreeper,Grimpar de Spix,Furnariidae
Xiphorhynchus elegans,Elegant Woodcreeper,,Dendrocolaptidae,Xiphorhynchus elegans,Elegant Woodcreeper,Grimpar élégant,Furnariidae
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,,Dendrocolaptidae,Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,Grimpar flambé,Furnariidae
,,,,Xiphorhynchus guttatus,Buff-throated Woodcreeper,Grimpar des cabosses,Furnariidae
Xiphorhynchus guttatus,Buff-throated Woodcreeper,,Dendrocolaptidae,,,,
,,,,Xiphorhynchus susurrans,Cocoa Woodcreeper,Grimpar cacao,Furnariidae
Xiphorhynchus eytoni,Dusky-billed Woodcreeper,,Dendrocolaptidae,,,,
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,,Dendrocolaptidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Grimpar à bec ivoire,Furnariidae
