ScientificNameBT,CommonNameBT
Graminicola bengalensis,Rufous-rumped Grassbird
Tephrodornis gularis,Large Woodshrike
Tephrodornis pondicerianus,Common Woodshrike
Aegithina nigrolutea,White-tailed Iora
Rhinoptilus bitorquatus,Jerdon's Courser
Cypseloides cherriei,Spot-fronted Swift
Turtur chalcospilos,Emerald-spotted Wood-dove
Cypseloides senex,Great Dusky Swift
Ibycter americanus,Red-throated Caracara
Ichthyophaga humilis,Lesser Fish-eagle
Ichthyophaga ichthyaetus,Grey-headed Fish-eagle
Centropus menbeki,Greater Black Coucal
Centropus chalybeus,Biak Coucal
Harpactes whiteheadi,Whitehead's Trogon
Turnix varius,Painted Buttonquail
Rhinoptilus cinctus,Three-banded Courser
Porphyrio alleni,Allen's Gallinule
Telophorus nigrifrons,Black-fronted Bush-shrike
Mystacornis crossleyi,Crossley's Babbler
Galbula galbula,Green-tailed Jacamar
Peneothello cyanus,Blue-grey Robin
Parus rufiventris,Rufous-bellied Tit
Anous stolidus,Brown Noddy
Anous minutus,Black Noddy
Metriopelia melanoptera,Black-winged Ground-dove
Phoebetria fusca,Sooty Albatross
Phoebetria palpebrata,Light-mantled Albatross
Rhabdornis inornatus,Stripe-breasted Rhabdornis
Aphelocephala nigricincta,Banded Whiteface
Cypseloides fumigatus,Sooty Swift
Aceros corrugatus,Wrinkled Hornbill
Cypseloides cryptus,White-chinned Swift
Galbula cyanicollis,Blue-necked Jacamar
Dendronanthus indicus,Forest Wagtail
Aviceda subcristata,Pacific Baza
Aviceda madagascariensis,Madagascar Baza
Peneothello bimaculata,White-rumped Robin
Aceros cassidix,Knobbed Hornbill
Ceyx fallax,Sulawesi Kingfisher
Chlamydera guttata,Western Bowerbird
Turnix velox,Little Buttonquail
Parophasma galinieri,Abyssinian Catbird
Caprimulgus affinis,Savanna Nightjar
Turnix pyrrhothorax,Red-chested Buttonquail
Sakesphorus cristatus,Silvery-cheeked Antshrike
Glaucidium passerinum,Eurasian Pygmy-owl
Aviceda jerdoni,Jerdon's Baza
Eupodotis savilei,Savile's Bustard
Eupodotis gindiana,Buff-crested Bustard
Spiza americana,Dickcissel
Lanius cabanisi,Long-tailed Fiscal
Climacteris melanurus,Black-tailed Treecreeper
Aviceda cuculoides,African Baza
Momotus aequatorialis,Andean Motmot
Climacteris affinis,White-browed Treecreeper
Eopsaltria australis,Eastern Yellow Robin
Speculipastor bicolor,Magpie Starling
Turnix ocellatus,Spotted Buttonquail
Eopsaltria griseogularis,Western Yellow Robin
Galbula chalcothorax,Purplish Jacamar
Psaltriparus minimus,Bushtit
Petronia pyrgita,Yellow-spotted Petronia
Tmetothylacus tenellus,Golden Pipit
Fringilla coelebs,Eurasian Chaffinch
Fringilla teydea,Blue Chaffinch
Galbula tombacea,White-chinned Jacamar
Pitta kochi,Whiskered Pitta
Pitta erythrogaster,Red-bellied Pitta
Galbula dea,Paradise Jacamar
Aphelocephala leucopsis,Southern Whiteface
Turnix nigricollis,Madagascar Buttonquail
Lioptilus nigricapillus,Bush Blackcap
Rhipidura diluta,Brown-capped Fantail
Pachycephala soror,Sclater's Whistler
Trogon personatus,Masked Trogon
Galbula ruficauda,Rufous-tailed Jacamar
Acanthiza lineata,Striated Thornbill
Galbula leucogastra,Bronzy Jacamar
Glaucidium tephronotum,Red-chested Owlet
Turtur afer,Blue-spotted Wood-dove
Cuculus solitarius,Red-chested Cuckoo
Numenius americanus,Long-billed Curlew
Caprimulgus parvulus,Little Nightjar
Neoctantes niger,Black Bushbird
Pterodroma longirostris,Stejneger's Petrel
Dicaeum agile,Thick-billed Flowerpecker
Turnix melanogaster,Black-breasted Buttonquail
Pterodroma cookii,Cook's Petrel
Dicaeum everetti,Brown-backed Flowerpecker
Turnix olivii,Buff-breasted Buttonquail
Ardeola rufiventris,Rufous-bellied Heron
Peneothello sigillatus,White-winged Robin
Turnix maculosus,Red-backed Buttonquail
Alaemon alaudipes,Greater Hoopoe-lark
Alaemon hamertoni,Lesser Hoopoe-lark
Gallicolumba tristigmata,Sulawesi Ground-dove
Sitta carolinensis,White-breasted Nuthatch
Piaya cayana,Squirrel Cuckoo
Platysteira castanea,Chestnut Wattle-eye
Platysteira tonsa,White-spotted Wattle-eye
Otus brucei,Pallid Scops-owl
Turnix worcesteri,Luzon Buttonquail
Amblyospiza albifrons,Grosbeak Weaver
Agapornis canus,Grey-headed Lovebird
Stigmatopelia senegalensis,Laughing Dove
Stigmatopelia chinensis,Spotted Dove
Henicopernis longicauda,Long-tailed Honey-buzzard
Henicopernis infuscatus,Black Honey-buzzard
Manucodia keraudrenii,Trumpet Manucode
Phaenicophaeus viridirostris,Blue-faced Malkoha
Remiz consobrinus,Chinese Penduline-tit
Gymnorhinus cyanocephalus,Pinyon Jay
Amytornis goyderi,Eyrean Grasswren
Pitta caerulea,Giant Pitta
Glaucidium cuculoides,Asian Barred Owlet
Drepanoptila holosericea,Cloven-feathered Dove
Ardeola speciosa,Javan Pond-heron
Lampornis hemileucus,White-bellied Mountain-gem
Turnix everetti,Sumba Buttonquail
Centropus andamanensis,Brown Coucal
Ammomanes deserti,Desert Lark
Centropus toulou,Madagascar Coucal
Remiz macronyx,Black-headed Penduline-tit
Ardeola ralloides,Squacco Heron
Sylvietta virens,Green Crombec
Onychognathus tenuirostris,Slender-billed Starling
Baeopogon indicator,Honeyguide Greenbul
Baeopogon clamans,White-tailed Greenbul
Coracina temminckii,Cerulean Cuckooshrike
Turnix castanotus,Chestnut-backed Buttonquail
Neomixis tenella,Common Jery
Neomixis striatigula,Stripe-throated Jery
Chlamydera cerviniventris,Fawn-breasted Bowerbird
Laniocera rufescens,Speckled Mourner
Laniocera hypopyrra,Cinereous Mourner
Zoothera pinicola,Aztec Thrush
Chlamydera nuchalis,Great Bowerbird
Remiz coronatus,White-crowned Penduline-tit
Cossypha humeralis,White-throated Robin-chat
Cinclus leucocephalus,White-capped Dipper
Oriolus traillii,Maroon Oriole
Calidris alpina,Dunlin
Cossypha cyanocampter,Blue-shouldered Robin-chat
Caprimulgus tristigma,Freckled Nightjar
Ficedula strophiata,Rufous-gorgeted Flycatcher
Chamaeza campanisona,Short-tailed Antthrush
Coracina analis,New Caledonian Cuckooshrike
Macropsalis forcipata,Long-trained Nightjar
Tachornis furcata,Pygmy Swift
Laniisoma elegans,Shrike-like Cotinga
Laniisoma buckleyi,Andean Laniisoma
Chrysococcyx crassirostris,Pied Bronze-cuckoo
Ardeola bacchus,Chinese Pond-heron
Pezoporus wallicus,Ground Parrot
Pezoporus occidentalis,Night Parrot
Chrysococcyx russatus,Gould's Bronze-cuckoo
Ardeola grayii,Indian Pond-heron
Cinclus schulzi,Rufous-throated Dipper
Remiz pendulinus,Eurasian Penduline-tit
Glaucidium capense,African Barred Owlet
Alcedo euryzona,Blue-banded Kingfisher
Sylvietta philippae,Short-billed Crombec
Glaucidium perlatum,Pearl-spotted Owlet
Falco sparverius,American Kestrel
Dichrozona cincta,Banded Antbird
Cyanolanius madagascarinus,Blue Vanga
Tachornis squamata,Fork-tailed Palm-swift
Tachornis phoenicobia,Antillean Palm-swift
Panterpe insignis,Fiery-throated Hummingbird
Aplopelia larvata,Lemon Dove
Falco columbarius,Merlin
Calidris minutilla,Least Sandpiper
Alcippe cinerea,Yellow-throated Fulvetta
Montifringilla taczanowskii,White-rumped Snowfinch
Sylvietta ruficapilla,Red-capped Crombec
Ardeola idae,Madagascar Pond-heron
Tockus fasciatus,African Pied Hornbill
Psaltria exilis,Pygmy Tit
Tryngites subruficollis,Buff-breasted Sandpiper
Myrmorchilus strigilatus,Stripe-backed Antbird
Ardeotis arabs,Arabian Bustard
Zoothera guttata,Spotted Ground-thrush
Calidris bairdii,Baird's Sandpiper
Tockus alboterminatus,Crowned Hornbill
Machetornis rixosa,Cattle Tyrant
Morus capensis,Cape Gannet
Morus serrator,Australasian Gannet
Arachnothera flavigaster,Spectacled Spiderhunter
Cacomantis flabelliformis,Fan-tailed Cuckoo
Tringa stagnatilis,Marsh Sandpiper
Tringa glareola,Wood Sandpiper
Willisornis poecilinotus,Scale-backed Antbird
Oriolus xanthornus,Black-hooded Oriole
Phyllastrephus debilis,Tiny Greenbul
Coracias cyanogaster,Blue-bellied Roller
Bernieria apperti,Appert's Tetraka
Bernieria cinereiceps,Grey-crowned Tetraka
Pterodroma nigripennis,Black-winged Petrel
Dicaeum australe,Red-striped Flowerpecker
Dicrurus ludwigii,Square-tailed Drongo
Caprimulgus clarus,Slender-tailed Nightjar
Andropadus nigriceps,Eastern Mountain Greenbul
Sylvietta isabellina,Somali Crombec
Origma solitaria,Rockwarbler
Rhipidura nigrocinnamomea,Black-and-cinnamon Fantail
Hylocichla mustelina,Wood Thrush
Galbalcyrhynchus leucotis,White-eared Jacamar
Galbalcyrhynchus purusianus,Chestnut Jacamar
Pterodroma axillaris,Chatham Petrel
Calidris fuscicollis,White-rumped Sandpiper
Collocalia terraereginae,Australian Swiftlet
Petrophassa albipennis,White-quilled Rock-pigeon
Petrophassa rufipennis,Chestnut-quilled Rock-pigeon
Prionochilus percussus,Crimson-breasted Flowerpecker
Zoonavena grandidieri,Malagasy Spinetail
Catherpes mexicanus,Canyon Wren
Zoonavena thomensis,Sao Tome Spinetail
Meliphaga aruensis,Puff-backed Honeyeater
Dicrurus atripennis,Shining Drongo
Aceros waldeni,Rufous-headed Hornbill
Pogonocichla stellata,White-starred Robin
Querula purpurata,Purple-throated Fruitcrow
Megaceryle lugubris,Crested Kingfisher
Charadrius wilsonia,Wilson's Plover
Myrmeciza exsul,Chestnut-backed Antbird
Collocalia whiteheadi,Whitehead's Swiftlet
Tringa totanus,Common Redshank
Cnipodectes subbrunneus,Brownish Twistwing
Cnipodectes superrufus,Rufous Twistwing
Coracias naevia,Rufous-crowned Roller
Parus funereus,Dusky Tit
Eupodotis afra,Black Bustard
Eupodotis afraoides,White-quilled Bustard
Aceros leucocephalus,Writhed Hornbill
Spizaetus melanoleucus,Black-and-white Hawk-eagle
Zoonavena sylvatica,White-rumped Spinetail
Caprimulgus sericocaudatus,Silky-tailed Nightjar
Chamaeza mollissima,Barred Antthrush
Aceros everetti,Sumba Hornbill
Mycteria cinerea,Milky Stork
Mycteria leucocephala,Painted Stork
Thamnornis chloropetoides,Thamnornis Warbler
Arachnothera crassirostris,Thick-billed Spiderhunter
Niltava vivida,Vivid Niltava
Caprimulgus maculosus,Cayenne Nightjar
Megaceryle torquata,Ringed Kingfisher
Cacomantis castaneiventris,Chestnut-breasted Cuckoo
Pachycephala caledonica,New Caledonian Whistler
Rhipidura cyaniceps,Blue-headed Fantail
Caprimulgus solala,Nechisar Nightjar
Coracias benghalensis,Indian Roller
Dendrocygna viduata,White-faced Whistling-duck
Aceros subruficollis,Plain-pouched Hornbill
Arachnothera juliae,Whitehead's Spiderhunter
Melithreptus albogularis,White-throated Honeyeater
Megaceryle alcyon,Belted Kingfisher
Caprimulgus stellatus,Star-spotted Nightjar
Pycnonotus melanoleucos,Black-and-white Bulbul
Chrysococcyx ruficollis,Rufous-throated Bronze-cuckoo
Capito quinticolor,Five-coloured Barbet
Eleoscytalopus psychopompus,Bahia Tapaculo
Eleoscytalopus indigoticus,White-breasted Tapaculo
Phaenicophaeus tristis,Green-billed Malkoha
Aceros narcondami,Narcondam Hornbill
Dendrocygna arborea,West Indian Whistling-duck
Dendrocygna autumnalis,Black-bellied Whistling-duck
Leucopternis plumbeus,Plumbeous Hawk
Chaetura chapmani,Chapman's Swift
Caprimulgus hirundinaceus,Pygmy Nightjar
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar
Erythrocercus livingstonei,Livingstone's Flycatcher
Francolinus pintadeanus,Chinese Francolin
Dicaeum trigonostigma,Orange-bellied Flowerpecker
Ardeotis kori,Kori Bustard
Tachymarptis melba,Alpine Swift
Tachymarptis aequatorialis,Mottled Swift
Coscoroba coscoroba,Coscoroba Swan
Cereopsis novaehollandiae,Cape Barren Goose
Trichodere cockerelli,White-streaked Honeyeater
Abroscopus superciliaris,Yellow-bellied Warbler
Bonasa umbellus,Ruffed Grouse
Phaenicophaeus diardi,Black-bellied Malkoha
Rhipidura superciliaris,Blue Fantail
Gallicolumba luzonica,Luzon Bleeding-heart
Coracias temminckii,Purple-winged Roller
Abroscopus schisticeps,Black-faced Warbler
Pycnonotus eutilotus,Puff-backed Bulbul
Erythrocercus mccallii,Chestnut-capped Flycatcher
Hylacola pyrrhopygia,Chestnut-rumped Heathwren
Hylacola cauta,Shy Heathwren
Caprimulgus centralasicus,Vaurie's Nightjar
Uropsila leucogastra,White-bellied Wren
Melierax canorus,Pale Chanting-goshawk
Cercococcyx olivinus,Olive Long-tailed Cuckoo
Cercococcyx montanus,Barred Long-tailed Cuckoo
Urolais epichlorus,Green Longtail
Circaetus fasciolatus,Southern Banded Snake-eagle
Circaetus cinerascens,Banded Snake-eagle
Hylopezus ochroleucus,White-browed Antpitta
Erythrocercus holochlorus,Yellow Flycatcher
Melierax poliopterus,Eastern Chanting-goshawk
Cheramoeca leucosterna,White-backed Swallow
Pseudhirundo griseopyga,Grey-rumped Swallow
Conopophaga roberti,Hooded Gnateater
Colibri serrirostris,White-vented Violet-ear
Sylvietta brachyura,Northern Crombec
Caprimulgus salvini,Tawny-collared Nightjar
Cinclosoma castanotum,Chestnut Quail-thrush
Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush
Tringa guttifer,Spotted Greenshank
Ceyx madagascariensis,Madagascar Pygmy-kingfisher
Caprimulgus ekmani,Hispaniola Nightjar
Conopophaga castaneiceps,Chestnut-crowned Gnateater
Arachnothera clarae,Naked-faced Spiderhunter
Bleda eximius,Green-tailed Bristlebill
Caprimulgus ruwenzorii,Ruwenzori Nightjar
Circaetus gallicus,Short-toed Snake-eagle
Conopophaga melanogaster,Black-bellied Gnateater
Centropus goliath,Goliath Coucal
Caprimulgus meesi,Mees's Nightjar
Circaetus cinereus,Brown Snake-eagle
Cinclosoma punctatum,Spotted Quail-thrush
Microrhopias quixensis,Dot-winged Antwren
Tockus flavirostris,Eastern Yellow-billed Hornbill
Caprimulgus natalensis,Swamp Nightjar
Vanellus malarbaricus,Yellow-wattled Lapwing
Caprimulgus asiaticus,Indian Nightjar
Cuculus lepidus,Sunda Cuckoo
Buteo magnirostris,Roadside Hawk
Phoebastria irrorata,Waved Albatross
Ixos malaccensis,Streaked Bulbul
Caprimulgus ruficollis,Red-necked Nightjar
Brachyramphus perdix,Long-billed Murrelet
Alca torda,Razorbill
Cinclosoma cinnamomeum,Cinnamon Quail-thrush
Caprimulgus mahrattensis,Sykes's Nightjar
Vanellus chilensis,Southern Lapwing
Cinclosoma ajax,Painted Quail-thrush
Vanellus cayanus,Pied Lapwing
Caprimulgus noctitherus,Puerto Rican Nightjar
Calonectris diomedea,Cory's Shearwater
Conopophaga cearae,Ceara Gnateater
Heliodoxa aurescens,Gould's Jewelfront
Calonectris leucomelas,Streaked Shearwater
Alcippe castaneceps,Rufous-winged Fulvetta
Pulsatrix melanota,Band-bellied Owl
Parus lugubris,Sombre Tit
Vanellus indicus,Red-wattled Lapwing
Platyrinchus leucoryphus,Russet-winged Spadebill
Henicophaps albifrons,New Guinea Bronzewing
Henicophaps foersteri,New Britain Bronzewing
Procellaria parkinsoni,Parkinson's Petrel
Coccothraustes vespertinus,Evening Grosbeak
Vanellus armatus,Blacksmith Lapwing
Alle alle,Little Auk
Dendrocygna guttata,Spotted Whistling-duck
Vanellus superciliosus,Brown-chested Lapwing
Aethopyga duyvenbodei,Elegant Sunbird
Prodotiscus zambesiae,Green-backed Honeyguide
Amblycercus holosericeus,Yellow-billed Cacique
Prodotiscus insignis,Cassin's Honeyguide
Vanellus melanopterus,Black-winged Lapwing
Hypsipetes mcclellandii,Mountain Bulbul
Niltava macgrigoriae,Small Niltava
Caprimulgus longirostris,Band-winged Nightjar
Pardirallus maculatus,Spotted Rail
Pardirallus sanguinolentus,Plumbeous Rail
Sylvia atricapilla,Blackcap
Acanthiza chrysorrhoa,Yellow-rumped Thornbill
Trigonoceps occipitalis,White-headed Vulture
Pardirallus nigricans,Blackish Rail
Caprimulgus atripennis,Jerdon's Nightjar
Caprimulgus heterurus,Todd's Nightjar
Ficedula tricolor,Slaty-blue Flycatcher
Ninox scutulata,Brown Hawk-owl
Caprimulgus prigoginei,Itombwe Nightjar
Grallaria squamigera,Undulated Antpitta
Ixonotus guttatus,Spotted Greenbul
Thescelocichla leucopleura,Swamp Greenbul
Geotrygon costaricensis,Buff-fronted Quail-dove
Caprimulgus badius,Yucatan Nightjar
Calonectris edwardsii,Cape Verde Shearwater
Egretta caerulea,Little Blue Heron
Prodotiscus regulus,Wahlberg's Honeyguide
Caprimulgus pulchellus,Salvadori's Nightjar
Conopophaga melanops,Black-cheeked Gnateater
Vanellus melanocephalus,Spot-breasted Lapwing
Myrmotherula assimilis,Leaden Antwren
Chlamydochaera jefferyi,Fruit-hunter
Vanellus crassirostris,Long-toed Lapwing
Surniculus lugubris,Drongo Cuckoo
Surniculus velutinus,Philippine Drongo-Cuckoo
Merulaxis ater,Slaty Bristlefront
Merulaxis stresemanni,Stresemann's Bristlefront
Cuculus optatus,Oriental Cuckoo
Heteronetta atricapilla,Black-headed Duck
Centropus monachus,Blue-headed Coucal
Caprimulgus concretus,Sunda Nightjar
Myrmotherula menetriesii,Grey Antwren
Crex crex,Corncrake
Lamprospiza melanoleuca,Red-billed Pied Tanager
Andropadus curvirostris,Plain Greenbul
Vanellus cinereus,Grey-headed Lapwing
Caprimulgus celebensis,Sulawesi Nightjar
Vanellus albiceps,White-headed Lapwing
Vanellus spinosus,Spur-winged Lapwing
Vanellus gregarius,Sociable Lapwing
Vanellus duvaucelii,River Lapwing
Sylvietta leucophrys,White-browed Crombec
Cyclarhis gujanensis,Rufous-browed Peppershrike
Cyclarhis nigrirostris,Black-billed Peppershrike
Nonnula rubecula,Rusty-breasted Nunlet
Vanellus lugubris,Senegal Lapwing
Sphecotheres hypoleucus,Wetar Figbird
Vanellus tectus,Black-headed Lapwing
Vanellus miles,Masked Lapwing
Cinclus cinclus,White-throated Dipper
Numenius borealis,Eskimo Curlew
Granatellus pelzelni,Rose-breasted Chat
Niltava grandis,Large Niltava
Vanellus coronatus,Crowned Lapwing
Agelastes meleagrides,White-breasted Guineafowl
Agelastes niger,Black Guineafowl
Arachnothera everetti,Bornean Spiderhunter
Caprimulgus cubanensis,Cuban Nightjar
Cinclus pallasii,Brown Dipper
Eremalauda dunni,Dunn's Lark
Rhodinocichla rosea,Rosy Thrush-tanager
Caprimulgus binotatus,Brown Nightjar
Alcippe chrysotis,Golden-breasted Fulvetta
Baeolophus wollweberi,Bridled Titmouse
Eremalauda starki,Stark's Lark
Vanellus senegallus,Wattled Lapwing
Vanellus leucurus,White-tailed Lapwing
Zenaida asiatica,White-winged Dove
Zenaida meloda,West Peruvian Dove
Nonnula frontalis,Grey-cheeked Nunlet
Caprimulgus eximius,Golden Nightjar
Haliastur sphenurus,Whistling Kite
Haliastur indus,Brahminy Kite
Onychorhynchus coronatus,Amazonian Royal Flycatcher
Dicaeum bicolor,Bicoloured Flowerpecker
Ficedula hyperythra,Snowy-browed Flycatcher
Nonnula sclateri,Fulvous-chinned Nunlet
Petroica traversi,Black Robin
Petroica macrocephala,Tomtit
Parus superciliosus,White-browed Tit
Xanthocephalus xanthocephalus,Yellow-headed Blackbird
Dolichonyx oryzivorus,Bobolink
Numenius tenuirostris,Slender-billed Curlew
Luscinia pectoralis,White-tailed Rubythroat
Tregellasia capito,Pale-yellow Robin
Tregellasia leucops,White-faced Robin
Adelomyia melanogenys,Speckled Hummingbird
Heliothryx barroti,Purple-crowned Fairy
Heliothryx auritus,Black-eared Fairy
Luscinia calliope,Siberian Rubythroat
Melanoperdix niger,Black Partridge
Laniarius leucorhynchus,Sooty Boubou
Anthoscopus caroli,African Penduline-tit
Xenops milleri,Rufous-tailed Xenops
Pitangus lictor,Lesser Kiskadee
Pitangus sulphuratus,Great Kiskadee
Chrysococcyx caprius,Didric Cuckoo
Chrysococcyx klaas,Klaas's Cuckoo
Caprimulgus nubicus,Nubian Nightjar
Macronectes giganteus,Southern Giant-petrel
Macronectes halli,Northern Giant-petrel
Nonnula ruficapilla,Rufous-capped Nunlet
Callocephalon fimbriatum,Gang-gang Cockatoo
Phaenostictus mcleannani,Ocellated Antbird
Conopophaga lineata,Rufous Gnateater
Collocalia brevirostris,Himalayan Swiftlet
Campephaga oriolina,Eastern Wattled Cuckooshrike
Anthoscopus parvulus,Yellow Penduline-tit
Nonnula amaurocephala,Chestnut-headed Nunlet
Anthoscopus flavifrons,Forest Penduline-tit
Vanellus tricolor,Banded Lapwing
Calcarius pictus,Smith's Longspur
Calcarius ornatus,Chestnut-collared Longspur
Thryorchilus browni,Timberline Wren
Calyptorhynchus lathami,Glossy Black-cockatoo
Phylloscopus tytleri,Tytler's Leaf-warbler
Climacteris picumnus,Brown Treecreeper
Falco zoniventris,Banded Kestrel
Thryomanes bewickii,Bewick's Wren
Pyrocephalus rubinus,Vermilion Flycatcher
Climacteris rufus,Rufous Treecreeper
Nonnula brunnea,Brown Nunlet
Egretta novaehollandiae,White-faced Heron
Trichixos pyrropygus,Rufous-tailed Shama
Dendrocygna javanica,Lesser Whistling-duck
Psittacus erithacus,Grey Parrot
Scolopax rosenbergii,New Guinea Woodcock
Onychorhynchus occidentalis,Pacific Royal Flycatcher
Notharchus hyperrhynchus,White-necked Puffbird
Tchagra australis,Brown-crowned Tchagra
Haematortyx sanguiniceps,Crimson-headed Partridge
Turnix tanki,Yellow-legged Buttonquail
Platyrinchus platyrhynchos,White-crested Spadebill
Parus holsti,Yellow Tit
Scolopax saturata,Javan Woodcock
Dicaeum anthonyi,Flame-crowned Flowerpecker
Pogoniulus coryphaeus,Western Green-tinkerbird
Cettia cetti,Cetti's Warbler
Recurvirostra avosetta,Pied Avocet
Iodopleura isabellae,White-browed Purpletuft
Merops bulocki,Red-throated Bee-eater
Merops bullockoides,White-fronted Bee-eater
Turnix suscitator,Barred Buttonquail
Cacomantis heinrichi,Moluccan Cuckoo
Cacomantis passerinus,Grey-bellied Cuckoo
Calyptorhynchus baudinii,Baudin’s Black-Cockatoo
Heliodoxa xanthogonys,Velvet-browed Brilliant
Oriolus cruentus,Black-and-crimson Oriole
Cinclidium leucurum,White-tailed Robin
Notharchus tectus,Pied Puffbird
Hemipus picatus,Bar-winged Flycatcher-shrike
Hemipus hirundinaceus,Black-winged Flycatcher-shrike
Parus monticolus,Green-backed Tit
Turtur abyssinicus,Black-billed Wood-dove
Cinclidium diana,Sunda Robin
Tchagra senegalus,Black-crowned Tchagra
Notharchus pectoralis,Black-breasted Puffbird
Iodopleura fusca,Dusky Purpletuft
Oriolus hosii,Black Oriole
Pericrocotus solaris,Grey-chinned Minivet
Eurylaimus samarensis,Visayan Broadbill
Notharchus swainsoni,Buff-bellied Puffbird
Uropsalis segmentata,Swallow-tailed Nightjar
Uropsalis lyra,Lyre-tailed Nightjar
Notharchus ordii,Brown-banded Puffbird
Scolopax mira,Ryukyu Woodcock
Scolopax bukidnonensis,Philippine Woodcock
Stiltia isabella,Australian Pratincole
Collocalia maxima,Black-nest Swiftlet
Notharchus macrorhynchos,Guianan Puffbird
Tityra cayana,Black-tailed Tityra
Tityra semifasciata,Masked Tityra
Platysmurus leucopterus,Black Magpie
Temnurus temnurus,Ratchet-tailed Treepie
Anthoscopus punctifrons,Sennar Penduline-tit
Galbula pastazae,Coppery-chested Jacamar
Onychorhynchus swainsoni,Atlantic Royal Flycatcher
Alethe poliocephala,Brown-chested Alethe
Agapornis taranta,Black-winged Lovebird
Anthoscopus musculus,Mouse-coloured Penduline-tit
Procellaria cinerea,Grey Petrel
Amytornis purnelli,Dusky Grasswren
Amytornis ballarae,Kalkadoon Grasswren
Malurus cyaneus,Superb Fairywren
Phoebastria albatrus,Short-tailed Albatross
Coccothraustes coccothraustes,Hawfinch
Parus varius,Varied Tit
Onychorhynchus mexicanus,Northern Royal Flycatcher
Bubo nipalensis,Spot-bellied Eagle-owl
Chloropeta gracilirostris,Papyrus Yellow Warbler
Henicorhina leucophrys,Grey-breasted Wood-wren
Oreornis chrysogenys,Orange-cheeked Honeyeater
Dendrocygna eytoni,Plumed Whistling-duck
Pharomachrus pavoninus,Pavonine Quetzal
Centropus spilopterus,Kai Coucal
Pharomachrus auriceps,Golden-headed Quetzal
Charadrius marginatus,White-fronted Plover
Charadrius alexandrinus,Kentish Plover
Sclateria naevia,Silvered Antbird
Agapornis pullarius,Red-headed Lovebird
Anthoscopus minutus,Southern Penduline-tit
Lullula arborea,Wood Lark
Megapodius pritchardii,Polynesian Megapode
Eclectus roratus,Eclectus Parrot
Pitta venusta,Graceful Pitta
Megapodius layardi,Vanuatu Megapode
Cygnus melancoryphus,Black-necked Swan
Scolopax minor,American Woodcock
Pycnonotus melanicterus,Black-crested Bulbul
Pycnonotus atriceps,Black-headed Bulbul
Chrysococcyx meyeri,White-eared Bronze-cuckoo
Calyptorhynchus banksii,Red-tailed Black-cockatoo
Conopophaga aurita,Chestnut-belted Gnateater
Megapodius bernsteinii,Sula Megapode
Anthornis melanura,New Zealand Bellbird
Chrysococcyx minutillus,Little Bronze-cuckoo
Northiella haematogaster,Blue Bonnet
Strix woodfordii,African Wood-owl
Megascops trichopsis,Whiskered Screech-owl
Scolopax rusticola,Eurasian Woodcock
Andropadus masukuensis,Shelley's Greenbul
Andropadus tephrolaemus,Western Mountain Greenbul
Conopophila rufogularis,Rufous-throated Honeyeater
Malurus splendens,Splendid Fairywren
Scolopax celebensis,Sulawesi Woodcock
Caprimulgus maculicaudus,Spot-tailed Nightjar
Pycnonotus urostictus,Yellow-wattled Bulbul
Seiurus aurocapilla,Ovenbird
Rhipidura atra,Black Fantail
Procellaria westlandica,Westland Petrel
Gallicolumba kubaryi,Caroline Islands Ground-dove
Bubo lacteus,Giant Eagle-owl
Capsiempis flaveola,Yellow Tyrannulet
Eminia lepida,Grey-capped Warbler
Malurus melanocephalus,Red-backed Fairywren
Iodopleura pipra,Buff-throated Purpletuft
Conopophila albogularis,Rufous-banded Honeyeater
Megalaima haemacephala,Coppersmith Barbet
Nisaetus nanus,Wallace's Hawk-eagle
Sericornis citreogularis,Yellow-throated Scrubwren
Cyanocompsa parellina,Blue Bunting
Erythropygia coryphaeus,Karoo Scrub-robin
Guttera plumifera,Plumed Guineafowl
Guttera pucherani,Crested Guineafowl
Foulehaio carunculatus,Wattled Honeyeater
Malurus leucopterus,White-winged Fairywren
Myrmeciza pelzelni,Grey-bellied Antbird
Scytalopus schulenbergi,Diademed Tapaculo
Hemicircus concretus,Grey-and-buff Woodpecker
Hemicircus canente,Heart-spotted Woodpecker
Megapodius laperouse,Micronesian Megapode
Pycnonotus erythropthalmos,Spectacled Bulbul
Egretta tricolor,Tricoloured Heron
Microhierax fringillarius,Black-thighed Falconet
Myrmeciza griseiceps,Grey-headed Antbird
Scolopax rochussenii,Moluccan Woodcock
Microhierax melanoleucos,Pied Falconet
Conopophaga peruviana,Ash-throated Gnateater
Cyanocitta cristata,Blue Jay
Cyanocitta stelleri,Steller's Jay
Elaenia strepera,Slaty Elaenia
Microhierax latifrons,White-fronted Falconet
Centropus violaceus,Violaceous Coucal
Hypergerus atriceps,Oriole Warbler
Myrmeciza atrothorax,Black-throated Antbird
Egretta rufescens,Reddish Egret
Poecilodryas brachyura,Black-chinned Robin
Pachycephala schlegelii,Regent Whistler
Dendrocygna bicolor,Fulvous Whistling-duck
Poecilodryas albonotata,Black-throated Robin
Bucanetes githagineus,Trumpeter Finch
Rhabdornis grandis,Long-billed Rhabdornis
Niltava davidi,Fujian Niltava
Nisaetus lanceolatus,Sulawesi Hawk-eagle
