CommonName,ScientificName2023,Notes
Evening Grosbeak,Coccothraustes vespertinus,Rare/Accidental
Pine Grosbeak,Pinicola enucleator,
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,
House Finch,Haemorhous mexicanus,Rare/Accidental
Purple Finch,Haemorhous purpureus,Rare/Accidental
Cassin's Finch,Haemorhous cassinii,Rare/Accidental
Oriental Greenfinch,Chloris sinica,Rare/Accidental
Common Redpoll,Acanthis flammea,
Hoary Redpoll,Acanthis hornemanni,
Red Crossbill,Loxia curvirostra,
White-winged Crossbill,Loxia leucoptera,
Pine Siskin,Spinus pinus,
,,
PASSERIFORMES: Calcariidae,,
Lapland Longspur,Calcarius lapponicus,
Chestnut-collared Longspur,Calcarius ornatus,Rare/Accidental
Snow Bunting,Plectrophenax nivalis,
,,
PASSERIFORMES: Passerellidae,,
Chipping Sparrow,Spizella passerina,
Clay-colored Sparrow,Spizella pallida,Rare/Accidental
Brewer's Sparrow,Spizella breweri,Rare/Accidental
American Tree Sparrow,Spizelloides arborea,
Fox Sparrow,Passerella iliaca,
Dark-eyed Junco,Junco hyemalis,
White-crowned Sparrow,Zonotrichia leucophrys,
Golden-crowned Sparrow,Zonotrichia atricapilla,
Harris's Sparrow,Zonotrichia querula,Rare/Accidental
White-throated Sparrow,Zonotrichia albicollis,Rare/Accidental
Vesper Sparrow,Pooecetes gramineus,Rare/Accidental
Savannah Sparrow,Passerculus sandwichensis,
Song Sparrow,Melospiza melodia,
Lincoln's Sparrow,Melospiza lincolnii,
Swamp Sparrow,Melospiza georgiana,Rare/Accidental
,,
PASSERIFORMES: Icteridae,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,
Bobolink,Dolichonyx oryzivorus,Rare/Accidental
Western Meadowlark,Sturnella neglecta,Rare/Accidental
Bullock's Oriole,Icterus bullockii,Rare/Accidental
Red-winged Blackbird,Agelaius phoeniceus,
Brown-headed Cowbird,Molothrus ater,Rare/Accidental
Rusty Blackbird,Euphagus carolinus,
Brewer's Blackbird,Euphagus cyanocephalus,Rare/Accidental
Common Grackle,Quiscalus quiscula,Rare/Accidental
,,
PASSERIFORMES: Parulidae,,
Northern Waterthrush,Parkesia noveboracensis,
Black-and-white Warbler,Mniotilta varia,Rare/Accidental
Tennessee Warbler,Leiothlypis peregrina,
Orange-crowned Warbler,Leiothlypis celata,
Nashville Warbler,Leiothlypis ruficapilla,Rare/Accidental
MacGillivray's Warbler,Geothlypis tolmiei,
Common Yellowthroat,Geothlypis trichas,
American Redstart,Setophaga ruticilla,
Magnolia Warbler,Setophaga magnolia,Rare/Accidental
Yellow Warbler,Setophaga petechia,
Blackpoll Warbler,Setophaga striata,
Palm Warbler,Setophaga palmarum,Rare/Accidental
Yellow-rumped Warbler,Setophaga coronata,
Black-throated Gray Warbler,Setophaga nigrescens,Rare/Accidental
Townsend's Warbler,Setophaga townsendi,
Wilson's Warbler,Cardellina pusilla,
,,
PASSERIFORMES: Cardinalidae,,
Western Tanager,Piranga ludoviciana,
Rose-breasted Grosbeak,Pheucticus ludovicianus,Rare/Accidental
Black-headed Grosbeak,Pheucticus melanocephalus,Rare/Accidental
Lazuli Bunting,Passerina amoena,Rare/Accidental
Snow Goose,Anser caerulescens,
Greater White-fronted Goose,Anser albifrons,
Brant,Branta bernicla,
Cackling Goose,Branta hutchinsii,
Canada Goose,Branta canadensis,
Trumpeter Swan,Cygnus buccinator,
Tundra Swan,Cygnus columbianus,
Wood Duck,Aix sponsa,Rare/Accidental
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
Eurasian Wigeon,Mareca penelope,
American Wigeon,Mareca americana,
Mallard,Anas platyrhynchos,
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Greater Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
Steller's Eider,Polysticta stelleri,
King Eider,Somateria spectabilis,
Harlequin Duck,Histrionicus histrionicus,
Surf Scoter,Melanitta perspicillata,
White-winged Scoter,Melanitta deglandi,
Black Scoter,Melanitta americana,
Long-tailed Duck,Clangula hyemalis,
Bufflehead,Bucephala albeola,
Common Goldeneye,Bucephala clangula,
Barrow's Goldeneye,Bucephala islandica,
Hooded Merganser,Lophodytes cucullatus,
Common Merganser,Mergus merganser,
Red-breasted Merganser,Mergus serrator,
,,
GALLIFORMES: Phasianidae,,
Ruffed Grouse,Bonasa umbellus,
Sooty Grouse,Dendragapus fuliginosus,
Sharp-tailed Grouse,Tympanuchus phasianellus,
White-tailed Ptarmigan,Lagopus leucura,
Willow Ptarmigan,Lagopus lagopus,
Rock Ptarmigan,Lagopus muta,
Spruce Grouse,Canachites canadensis,
,,
PODICIPEDIFORMES: Podicipedidae,,
Pied-billed Grebe,Podilymbus podiceps,Rare/Accidental
Horned Grebe,Podiceps auritus,
Red-necked Grebe,Podiceps grisegena,
Eared Grebe,Podiceps nigricollis,Rare/Accidental
Western Grebe,Aechmophorus occidentalis,
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Band-tailed Pigeon,Patagioenas fasciata,Rare/Accidental
Eurasian Collared-Dove,Streptopelia decaocto,Rare/Accidental
White-winged Dove,Zenaida asiatica,Rare/Accidental
Mourning Dove,Zenaida macroura,Rare/Accidental
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Common Nighthawk,Chordeiles minor,
Eastern Whip-poor-will,Antrostomus vociferus,Rare/Accidental
,,
CAPRIMULGIFORMES: Apodidae,,
Black Swift,Cypseloides niger,
Vaux's Swift,Chaetura vauxi,
,,
CAPRIMULGIFORMES: Trochilidae,,
Anna's Hummingbird,Calypte anna,Rare/Accidental
Rufous Hummingbird,Selasphorus rufus,
,,
GRUIFORMES: Rallidae,,
Virginia Rail,Rallus limicola,Rare/Accidental
Sora,Porzana carolina,
American Coot,Fulica americana,Rare/Accidental
,,
GRUIFORMES: Gruidae,,
Sandhill Crane,Antigone canadensis,
,,
CHARADRIIFORMES: Haematopodidae,,
Black Oystercatcher,Haematopus bachmani,
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
American Golden-Plover,Pluvialis dominica,
Pacific Golden-Plover,Pluvialis fulva,
Killdeer,Charadrius vociferus,
Semipalmated Plover,Charadrius semipalmatus,
,,
CHARADRIIFORMES: Scolopacidae,,
Whimbrel,Numenius phaeopus,
Bar-tailed Godwit,Limosa lapponica,
Hudsonian Godwit,Limosa haemastica,
Marbled Godwit,Limosa fedoa,
Short-billed Dowitcher,Limnodromus griseus,
Long-billed Dowitcher,Limnodromus scolopaceus,
Wilson's Snipe,Gallinago delicata,
Red Phalarope,Phalaropus fulicarius,
Red-necked Phalarope,Phalaropus lobatus,
Spotted Sandpiper,Actitis macularius,
Solitary Sandpiper,Tringa solitaria,
Wandering Tattler,Tringa incana,
Lesser Yellowlegs,Tringa flavipes,
Greater Yellowlegs,Tringa melanoleuca,
Ruddy Turnstone,Arenaria interpres,
Black Turnstone,Arenaria melanocephala,
Red Knot,Calidris canutus,
Surfbird,Calidris virgata,
Sanderling,Calidris alba,
Dunlin,Calidris alpina,
Rock Sandpiper,Calidris ptilocnemis,
Least Sandpiper,Calidris minutilla,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Semipalmated Sandpiper,Calidris pusilla,
,,
CHARADRIIFORMES: Stercorariidae,,
Long-tailed Jaeger,Stercorarius longicaudus,
Parasitic Jaeger,Stercorarius parasiticus,
Pomarine Jaeger,Stercorarius pomarinus,
South Polar Skua,Stercorarius maccormicki,Rare/Accidental
,,
CHARADRIIFORMES: Alcidae,,
Rhinoceros Auklet,Cerorhinca monocerata,
Tufted Puffin,Fratercula cirrhata,
Horned Puffin,Fratercula corniculata,
Cassin's Auklet,Ptychoramphus aleuticus,
Crested Auklet,Aethia cristatella,
Kittlitz's Murrelet,Brachyramphus brevirostris,
Marbled Murrelet,Brachyramphus marmoratus,
Pigeon Guillemot,Cepphus columba,
Thick-billed Murre,Uria lomvia,
Common Murre,Uria aalge,
Ancient Murrelet,Synthliboramphus antiquus,
,,
CHARADRIIFORMES: Laridae,,
Little Gull,Hydrocoloeus minutus,Rare/Accidental
Black-legged Kittiwake,Rissa tridactyla,
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental
Short-billed Gull,Larus brachyrhynchus,
Ring-billed Gull,Larus delawarensis,Rare/Accidental
Herring Gull,Larus argentatus,
Glaucous Gull,Larus hyperboreus,
California Gull,Larus californicus,
Glaucous-winged Gull,Larus glaucescens,
Slaty-backed Gull,Larus schistisagus,
Iceland Gull,Larus glaucoides,
Caspian Tern,Hydroprogne caspia,Rare/Accidental
Arctic Tern,Sterna paradisaea,
,,
GAVIIFORMES: Gaviidae,,
Red-throated Loon,Gavia stellata,
Pacific Loon,Gavia pacifica,
Common Loon,Gavia immer,
Yellow-billed Loon,Gavia adamsii,
,,
PROCELLARIIFORMES: Diomedeidae,,
Black-footed Albatross,Phoebastria nigripes,
,,
PROCELLARIIFORMES: Hydrobatidae,,
Fork-tailed Storm-Petrel,Hydrobates furcatus,
Leach's Storm-Petrel,Hydrobates leucorhous,
,,
PROCELLARIIFORMES: Procellariidae,,
Northern Fulmar,Fulmarus glacialis,
Pink-footed Shearwater,Ardenna creatopus,
Buller's Shearwater,Ardenna bulleri,
Sooty Shearwater,Ardenna grisea,
Short-tailed Shearwater,Ardenna tenuirostris,
Manx Shearwater,Puffinus puffinus,
,,
SULIFORMES: Sulidae,,
Brown Booby,Sula leucogaster,Rare/Accidental
,,
SULIFORMES: Phalacrocoracidae,,
Brandt's Cormorant,Urile penicillatus,Rare/Accidental
Pelagic Cormorant,Urile pelagicus,
Double-crested Cormorant,Nannopterum auritum,
,,
PELECANIFORMES: Pelecanidae,,
American White Pelican,Pelecanus erythrorhynchos,Rare/Accidental
,,
PELECANIFORMES: Ardeidae,,
American Bittern,Botaurus lentiginosus,Rare/Accidental
Western Cattle Egret,Bubulcus ibis,Rare/Accidental
Great Blue Heron,Ardea herodias,
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
Golden Eagle,Aquila chrysaetos,
Northern Harrier,Circus hudsonius,
Sharp-shinned Hawk,Accipiter striatus,
American Goshawk,Accipiter atricapillus,
Bald Eagle,Haliaeetus leucocephalus,
Swainson's Hawk,Buteo swainsoni,Rare/Accidental
Red-tailed Hawk,Buteo jamaicensis,
Rough-legged Hawk,Buteo lagopus,
,,
STRIGIFORMES: Strigidae,,
Western Screech-Owl,Megascops kennicottii,
Snowy Owl,Bubo scandiacus,
Great Horned Owl,Bubo virginianus,
Northern Hawk Owl,Surnia ulula,
Northern Pygmy-Owl,Glaucidium gnoma,
Barred Owl,Strix varia,Rare/Accidental
Great Gray Owl,Strix nebulosa,
Long-eared Owl,Asio otus,Rare/Accidental
Short-eared Owl,Asio flammeus,
Boreal Owl,Aegolius funereus,
Northern Saw-whet Owl,Aegolius acadicus,
,,
CORACIIFORMES: Alcedinidae,,
Belted Kingfisher,Megaceryle alcyon,
,,
PICIFORMES: Picidae,,
Red-breasted Sapsucker,Sphyrapicus ruber,
Lewis's Woodpecker,Melanerpes lewis,Rare/Accidental
American Three-toed Woodpecker,Picoides dorsalis,
Black-backed Woodpecker,Picoides arcticus,
Downy Woodpecker,Dryobates pubescens,
Hairy Woodpecker,Dryobates villosus,
Northern Flicker,Colaptes auratus,
,,
FALCONIFORMES: Falconidae,,
American Kestrel,Falco sparverius,
Merlin,Falco columbarius,
Gyrfalcon,Falco rusticolus,
Peregrine Falcon,Falco peregrinus,
,,
PASSERIFORMES: Tyrannidae,,
Olive-sided Flycatcher,Contopus cooperi,
Western Wood-Pewee,Contopus sordidulus,
Alder Flycatcher,Empidonax alnorum,
Willow Flycatcher,Empidonax traillii,
Least Flycatcher,Empidonax minimus,Rare/Accidental
Hammond's Flycatcher,Empidonax hammondii,
Dusky Flycatcher,Empidonax oberholseri,Rare/Accidental
Western Flycatcher,Empidonax difficilis,
Say's Phoebe,Sayornis saya,
Great Crested Flycatcher,Myiarchus crinitus,Rare/Accidental
Tropical Kingbird,Tyrannus melancholicus,Rare/Accidental
Eastern Kingbird,Tyrannus tyrannus,Rare/Accidental
Scissor-tailed Flycatcher,Tyrannus forficatus,Rare/Accidental
,,
PASSERIFORMES: Vireonidae,,
Cassin's Vireo,Vireo cassinii,Rare/Accidental
Warbling Vireo,Vireo gilvus,Rare/Accidental
Red-eyed Vireo,Vireo olivaceus,Rare/Accidental
,,
PASSERIFORMES: Laniidae,,
Northern Shrike,Lanius borealis,
,,
PASSERIFORMES: Corvidae,,
Steller's Jay,Cyanocitta stelleri,
Black-billed Magpie,Pica hudsonia,
American Crow,Corvus brachyrhynchos,
Common Raven,Corvus corax,
,,
PASSERIFORMES: Paridae,,
Black-capped Chickadee,Poecile atricapillus,
Mountain Chickadee,Poecile gambeli,Rare/Accidental
Chestnut-backed Chickadee,Poecile rufescens,
Boreal Chickadee,Poecile hudsonicus,
,,
PASSERIFORMES: Alaudidae,,
Horned Lark,Eremophila alpestris,
,,
PASSERIFORMES: Hirundinidae,,
Bank Swallow,Riparia riparia,
Tree Swallow,Tachycineta bicolor,
Violet-green Swallow,Tachycineta thalassina,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Rare/Accidental
Barn Swallow,Hirundo rustica,
Cliff Swallow,Petrochelidon pyrrhonota,
,,
PASSERIFORMES: Regulidae,,
Ruby-crowned Kinglet,Corthylio calendula,
Golden-crowned Kinglet,Regulus satrapa,
,,
PASSERIFORMES: Sittidae,,
Red-breasted Nuthatch,Sitta canadensis,
,,
PASSERIFORMES: Certhiidae,,
Brown Creeper,Certhia americana,
,,
PASSERIFORMES: Troglodytidae,,
Pacific Wren,Troglodytes pacificus,
,,
PASSERIFORMES: Cinclidae,,
American Dipper,Cinclus mexicanus,
,,
PASSERIFORMES: Sturnidae,,
European Starling,Sturnus vulgaris,Introduced species
,,
PASSERIFORMES: Mimidae,,
Gray Catbird,Dumetella carolinensis,Rare/Accidental
Northern Mockingbird,Mimus polyglottos,
,,
PASSERIFORMES: Turdidae,,
Mountain Bluebird,Sialia currucoides,Rare/Accidental
Townsend's Solitaire,Myadestes townsendi,
Varied Thrush,Ixoreus naevius,
Gray-cheeked Thrush,Catharus minimus,
Swainson's Thrush,Catharus ustulatus,
Hermit Thrush,Catharus guttatus,
American Robin,Turdus migratorius,
,,
PASSERIFORMES: Bombycillidae,,
Bohemian Waxwing,Bombycilla garrulus,
Cedar Waxwing,Bombycilla cedrorum,
,,
PASSERIFORMES: Passeridae,,
House Sparrow,Passer domesticus,Rare/Accidental
,,
PASSERIFORMES: Motacillidae,,
American Pipit,Anthus rubescens,Rare/Accidental
,,
PASSERIFORMES: Fringillidae,,
Brambling,Fringilla montifringilla,
Evening Grosbeak,Coccothraustes vespertinus,Rare/Accidental
Pine Grosbeak,Pinicola enucleator,
Eurasian Bullfinch,Pyrrhula pyrrhula,Rare/Accidental
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,
Purple Finch,Haemorhous purpureus,Rare/Accidental
Common Redpoll,Acanthis flammea,
Hoary Redpoll,Acanthis hornemanni,
Red Crossbill,Loxia curvirostra,
White-winged Crossbill,Loxia leucoptera,
Pine Siskin,Spinus pinus,
American Goldfinch,Spinus tristis,Rare/Accidental
,,
PASSERIFORMES: Calcariidae,,
Lapland Longspur,Calcarius lapponicus,
Snow Bunting,Plectrophenax nivalis,
,,
PASSERIFORMES: Emberizidae,,
Rustic Bunting,Emberiza rustica,Rare/Accidental
,,
PASSERIFORMES: Passerellidae,,
Chipping Sparrow,Spizella passerina,
Clay-colored Sparrow,Spizella pallida,Rare/Accidental
American Tree Sparrow,Spizelloides arborea,
Fox Sparrow,Passerella iliaca,
Dark-eyed Junco,Junco hyemalis,
White-crowned Sparrow,Zonotrichia leucophrys,
Golden-crowned Sparrow,Zonotrichia atricapilla,
Harris's Sparrow,Zonotrichia querula,Rare/Accidental
White-throated Sparrow,Zonotrichia albicollis,Rare/Accidental
Savannah Sparrow,Passerculus sandwichensis,
Song Sparrow,Melospiza melodia,
Lincoln's Sparrow,Melospiza lincolnii,
Spotted Towhee,Pipilo maculatus,Rare/Accidental
,,
PASSERIFORMES: Icteridae,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare/Accidental
Western Meadowlark,Sturnella neglecta,Rare/Accidental
Red-winged Blackbird,Agelaius phoeniceus,
Brown-headed Cowbird,Molothrus ater,Rare/Accidental
Rusty Blackbird,Euphagus carolinus,
Brewer's Blackbird,Euphagus cyanocephalus,Rare/Accidental
,,
PASSERIFORMES: Parulidae,,
Northern Waterthrush,Parkesia noveboracensis,
Tennessee Warbler,Leiothlypis peregrina,Rare/Accidental
Orange-crowned Warbler,Leiothlypis celata,
MacGillivray's Warbler,Geothlypis tolmiei,
Common Yellowthroat,Geothlypis trichas,
American Redstart,Setophaga ruticilla,
Magnolia Warbler,Setophaga magnolia,Rare/Accidental
Yellow Warbler,Setophaga petechia,
Palm Warbler,Setophaga palmarum,Rare/Accidental
Yellow-rumped Warbler,Setophaga coronata,
Townsend's Warbler,Setophaga townsendi,
Wilson's Warbler,Cardellina pusilla,
,,
PASSERIFORMES: Cardinalidae,,
Western Tanager,Piranga ludoviciana,
Rose-breasted Grosbeak,Pheucticus ludovicianus,Rare/Accidental
Black-headed Grosbeak,Pheucticus melanocephalus,Rare/Accidental
Blue Grosbeak,Passerina caerulea,Rare/Accidental
Lazuli Bunting,Passerina amoena,Rare/Accidental
Indigo Bunting,Passerina cyanea,Rare/Accidental
Emperor Goose,Anser canagicus,
Snow Goose,Anser caerulescens,
Ross's Goose,Anser rossii,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,
Brant,Branta bernicla,
Cackling Goose,Branta hutchinsii,
Canada Goose,Branta canadensis,
Trumpeter Swan,Cygnus buccinator,
Tundra Swan,Cygnus columbianus,
Wood Duck,Aix sponsa,Rare/Accidental
Blue-winged Teal,Spatula discors,
Cinnamon Teal,Spatula cyanoptera,Rare/Accidental
Northern Shoveler,Spatula clypeata,
Gadwall,Mareca strepera,
Eurasian Wigeon,Mareca penelope,
American Wigeon,Mareca americana,
Mallard,Anas platyrhynchos,
American Black Duck,Anas rubripes,Rare/Accidental
Northern Pintail,Anas acuta,
Green-winged Teal,Anas crecca,
Canvasback,Aythya valisineria,
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Tufted Duck,Aythya fuligula,Rare/Accidental
Greater Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
Steller's Eider,Polysticta stelleri,
King Eider,Somateria spectabilis,
Common Eider,Somateria mollissima,
Harlequin Duck,Histrionicus histrionicus,
Surf Scoter,Melanitta perspicillata,
White-winged Scoter,Melanitta deglandi,
Black Scoter,Melanitta americana,
Long-tailed Duck,Clangula hyemalis,
Bufflehead,Bucephala albeola,
Common Goldeneye,Bucephala clangula,
Barrow's Goldeneye,Bucephala islandica,
Hooded Merganser,Lophodytes cucullatus,
Common Merganser,Mergus merganser,
Red-breasted Merganser,Mergus serrator,
Ruddy Duck,Oxyura jamaicensis,
,,
GALLIFORMES: Phasianidae,,
Ruffed Grouse,Bonasa umbellus,
Sooty Grouse,Dendragapus fuliginosus,
Sharp-tailed Grouse,Tympanuchus phasianellus,
White-tailed Ptarmigan,Lagopus leucura,
Willow Ptarmigan,Lagopus lagopus,
Rock Ptarmigan,Lagopus muta,
Spruce Grouse,Canachites canadensis,
,,
PODICIPEDIFORMES: Podicipedidae,,
Pied-billed Grebe,Podilymbus podiceps,Rare/Accidental
Horned Grebe,Podiceps auritus,
Red-necked Grebe,Podiceps grisegena,
Western Grebe,Aechmophorus occidentalis,
,,
COLUMBIFORMES: Columbidae,,
Rock Pigeon,Columba livia,Introduced species
Eurasian Collared-Dove,Streptopelia decaocto,Rare/Accidental
White-winged Dove,Zenaida asiatica,Rare/Accidental
Mourning Dove,Zenaida macroura,Rare/Accidental
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Common Nighthawk,Chordeiles minor,
,,
CAPRIMULGIFORMES: Apodidae,,
Black Swift,Cypseloides niger,
Vaux's Swift,Chaetura vauxi,
,,
CAPRIMULGIFORMES: Trochilidae,,
Ruby-throated Hummingbird,Archilochus colubris,Rare/Accidental
Anna's Hummingbird,Calypte anna,Rare/Accidental
Rufous Hummingbird,Selasphorus rufus,
,,
GRUIFORMES: Rallidae,,
Virginia Rail,Rallus limicola,Rare/Accidental
Sora,Porzana carolina,
American Coot,Fulica americana,Rare/Accidental
,,
GRUIFORMES: Gruidae,,
Demoiselle Crane,Anthropoides virgo,Introduced species
Sandhill Crane,Antigone canadensis,
,,
CHARADRIIFORMES: Haematopodidae,,
Black Oystercatcher,Haematopus bachmani,
,,
CHARADRIIFORMES: Charadriidae,,
Black-bellied Plover,Pluvialis squatarola,
American Golden-Plover,Pluvialis dominica,
Pacific Golden-Plover,Pluvialis fulva,
Killdeer,Charadrius vociferus,
Semipalmated Plover,Charadrius semipalmatus,
,,
CHARADRIIFORMES: Scolopacidae,,
Upland Sandpiper,Bartramia longicauda,
Whimbrel,Numenius phaeopus,
Little Curlew,Numenius minutus,Rare/Accidental
Bar-tailed Godwit,Limosa lapponica,
Hudsonian Godwit,Limosa haemastica,
Marbled Godwit,Limosa fedoa,
Short-billed Dowitcher,Limnodromus griseus,
Long-billed Dowitcher,Limnodromus scolopaceus,
Wilson's Snipe,Gallinago delicata,
Wilson's Phalarope,Phalaropus tricolor,Rare/Accidental
Red Phalarope,Phalaropus fulicarius,
Red-necked Phalarope,Phalaropus lobatus,
Spotted Sandpiper,Actitis macularius,
Solitary Sandpiper,Tringa solitaria,
Wandering Tattler,Tringa incana,
Lesser Yellowlegs,Tringa flavipes,
Spotted Redshank,Tringa erythropus,Rare/Accidental
Greater Yellowlegs,Tringa melanoleuca,
Ruddy Turnstone,Arenaria interpres,
Black Turnstone,Arenaria melanocephala,
Red Knot,Calidris canutus,
Surfbird,Calidris virgata,
Ruff,Calidris pugnax,Rare/Accidental
Sharp-tailed Sandpiper,Calidris acuminata,
Curlew Sandpiper,Calidris ferruginea,Rare/Accidental
Stilt Sandpiper,Calidris himantopus,
Red-necked Stint,Calidris ruficollis,
Buff-breasted Sandpiper,Calidris subruficollis,
Sanderling,Calidris alba,
Dunlin,Calidris alpina,
Rock Sandpiper,Calidris ptilocnemis,
Baird's Sandpiper,Calidris bairdii,
White-rumped Sandpiper,Calidris fuscicollis,Rare/Accidental
Least Sandpiper,Calidris minutilla,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Semipalmated Sandpiper,Calidris pusilla,
,,
CHARADRIIFORMES: Stercorariidae,,
Long-tailed Jaeger,Stercorarius longicaudus,
Parasitic Jaeger,Stercorarius parasiticus,
Pomarine Jaeger,Stercorarius pomarinus,
South Polar Skua,Stercorarius maccormicki,Rare/Accidental
,,
CHARADRIIFORMES: Alcidae,,
Rhinoceros Auklet,Cerorhinca monocerata,
Tufted Puffin,Fratercula cirrhata,
Horned Puffin,Fratercula corniculata,
Cassin's Auklet,Ptychoramphus aleuticus,
Crested Auklet,Aethia cristatella,
Parakeet Auklet,Aethia psittacula,
Kittlitz's Murrelet,Brachyramphus brevirostris,
Marbled Murrelet,Brachyramphus marmoratus,
Pigeon Guillemot,Cepphus columba,
Thick-billed Murre,Uria lomvia,
Common Murre,Uria aalge,
Ancient Murrelet,Synthliboramphus antiquus,
,,
CHARADRIIFORMES: Laridae,,
Little Gull,Hydrocoloeus minutus,Rare/Accidental
Ross's Gull,Rhodostethia rosea,
Black-legged Kittiwake,Rissa tridactyla,
Ivory Gull,Pagophila eburnea,
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,
Laughing Gull,Leucophaeus atricilla,Rare/Accidental
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental
Heermann's Gull,Larus heermanni,Rare/Accidental
Short-billed Gull,Larus brachyrhynchus,
Ring-billed Gull,Larus delawarensis,Rare/Accidental
Western Gull,Larus occidentalis,Rare/Accidental
Herring Gull,Larus argentatus,
Glaucous Gull,Larus hyperboreus,
Lesser Black-backed Gull,Larus fuscus,Rare/Accidental
California Gull,Larus californicus,
Glaucous-winged Gull,Larus glaucescens,
Slaty-backed Gull,Larus schistisagus,
Iceland Gull,Larus glaucoides,
Aleutian Tern,Onychoprion aleuticus,
Caspian Tern,Hydroprogne caspia,Rare/Accidental
Black Tern,Chlidonias niger,Rare/Accidental
Arctic Tern,Sterna paradisaea,
Sandwich Tern,Thalasseus sandvicensis,Rare/Accidental
,,
GAVIIFORMES: Gaviidae,,
Red-throated Loon,Gavia stellata,
Pacific Loon,Gavia pacifica,
Common Loon,Gavia immer,
Yellow-billed Loon,Gavia adamsii,
,,
PROCELLARIIFORMES: Diomedeidae,,
Laysan Albatross,Phoebastria immutabilis,
Black-footed Albatross,Phoebastria nigripes,
Short-tailed Albatross,Phoebastria albatrus,Rare/Accidental
,,
PROCELLARIIFORMES: Hydrobatidae,,
Fork-tailed Storm-Petrel,Hydrobates furcatus,
Leach's Storm-Petrel,Hydrobates leucorhous,
,,
PROCELLARIIFORMES: Procellariidae,,
Northern Fulmar,Fulmarus glacialis,
Mottled Petrel,Pterodroma inexpectata,
Pink-footed Shearwater,Ardenna creatopus,
Flesh-footed Shearwater,Ardenna carneipes,Rare/Accidental
Great Shearwater,Ardenna gravis,Rare/Accidental
Buller's Shearwater,Ardenna bulleri,
Sooty Shearwater,Ardenna grisea,
Short-tailed Shearwater,Ardenna tenuirostris,
Manx Shearwater,Puffinus puffinus,
,,
SULIFORMES: Sulidae,,
Red-footed Booby,Sula sula,Rare/Accidental
Brown Booby,Sula leucogaster,Rare/Accidental
Nazca Booby,Sula granti,Rare/Accidental
,,
SULIFORMES: Phalacrocoracidae,,
Brandt's Cormorant,Urile penicillatus,Rare/Accidental
Pelagic Cormorant,Urile pelagicus,
Double-crested Cormorant,Nannopterum auritum,
,,
PELECANIFORMES: Ardeidae,,
American Bittern,Botaurus lentiginosus,Rare/Accidental
Western Cattle Egret,Bubulcus ibis,Rare/Accidental
Great Egret,Ardea alba,Rare/Accidental
Great Blue Heron,Ardea herodias,
,,
CATHARTIFORMES: Cathartidae,,
Turkey Vulture,Cathartes aura,Rare/Accidental
,,
ACCIPITRIFORMES: Pandionidae,,
Osprey,Pandion haliaetus,
,,
ACCIPITRIFORMES: Accipitridae,,
Golden Eagle,Aquila chrysaetos,
Northern Harrier,Circus hudsonius,
Sharp-shinned Hawk,Accipiter striatus,
American Goshawk,Accipiter atricapillus,
Bald Eagle,Haliaeetus leucocephalus,
Swainson's Hawk,Buteo swainsoni,Rare/Accidental
Red-tailed Hawk,Buteo jamaicensis,
Rough-legged Hawk,Buteo lagopus,
,,
STRIGIFORMES: Strigidae,,
Flammulated Owl,Psiloscops flammeolus,Rare/Accidental
Western Screech-Owl,Megascops kennicottii,
Snowy Owl,Bubo scandiacus,
Great Horned Owl,Bubo virginianus,
Northern Hawk Owl,Surnia ulula,
Northern Pygmy-Owl,Glaucidium gnoma,
Barred Owl,Strix varia,Rare/Accidental
Great Gray Owl,Strix nebulosa,
Long-eared Owl,Asio otus,Rare/Accidental
Short-eared Owl,Asio flammeus,
Boreal Owl,Aegolius funereus,
Northern Saw-whet Owl,Aegolius acadicus,
,,
CORACIIFORMES: Alcedinidae,,
