CommonName2023,ScientificName2023,Notes
Blue-and-white Swallow,Pygochelidon cyanoleuca,Rare/Accidental
Barn Swallow,Hirundo rustica,
Cliff Swallow,Petrochelidon pyrrhonota,
Cave Swallow,Petrochelidon fulva,
,,
PASSERIFORMES: Aegithalidae,,
Bushtit,Psaltriparus minimus,
,,
PASSERIFORMES: Regulidae,,
Ruby-crowned Kinglet,Corthylio calendula,
Golden-crowned Kinglet,Regulus satrapa,Rare/Accidental
,,
PASSERIFORMES: Sittidae,,
White-breasted Nuthatch,Sitta carolinensis,
Pygmy Nuthatch,Sitta pygmaea,
,,
PASSERIFORMES: Certhiidae,,
Brown Creeper,Certhia americana,
,,
PASSERIFORMES: Polioptilidae,,
Long-billed Gnatwren,Ramphocaenus melanurus,
White-browed Gnatcatcher,Polioptila bilineata,
Blue-gray Gnatcatcher,Polioptila caerulea,
White-lored Gnatcatcher,Polioptila albiloris,
,,
PASSERIFORMES: Troglodytidae,,
Rock Wren,Salpinctes obsoletus,
Canyon Wren,Catherpes mexicanus,
Sumichrast's Wren,Hylorchilus sumichrasti,Endemic (country/region)
Nava's Wren,Hylorchilus navai,Endemic (country/region)
House Wren,Troglodytes aedon,
Sedge Wren,Cistothorus stellaris,
Grass Wren,Cistothorus platensis,
Marsh Wren,Cistothorus palustris,Rare/Accidental
Bewick's Wren,Thryomanes bewickii,
Band-backed Wren,Campylorhynchus zonatus,
Gray-barred Wren,Campylorhynchus megalopterus,Endemic (country/region)
Rufous-naped Wren,Campylorhynchus rufinucha,
Boucard's Wren,Campylorhynchus jocosus,Endemic (country/region)
Spot-breasted Wren,Pheugopedius maculipectus,
Happy Wren,Pheugopedius felix,Endemic (country/region)
Sinaloa Wren,Thryophilus sinaloa,Endemic (country/region)
Banded Wren,Thryophilus pleurostictus,
Cabanis's Wren,Cantorchilus modestus,
White-bellied Wren,Uropsila leucogastra,
White-breasted Wood-Wren,Henicorhina leucosticta,
Gray-breasted Wood-Wren,Henicorhina leucophrys,
,,
PASSERIFORMES: Cinclidae,,
American Dipper,Cinclus mexicanus,
,,
PASSERIFORMES: Mimidae,,
Blue Mockingbird,Melanotis caerulescens,Endemic (country/region)
Gray Catbird,Dumetella carolinensis,
Curve-billed Thrasher,Toxostoma curvirostre,
Ocellated Thrasher,Toxostoma ocellatum,Endemic (country/region)
Tropical Mockingbird,Mimus gilvus,
Northern Mockingbird,Mimus polyglottos,
,,
PASSERIFORMES: Turdidae,,
Eastern Bluebird,Sialia sialis,
Brown-backed Solitaire,Myadestes occidentalis,
Slate-colored Solitaire,Myadestes unicolor,
Orange-billed Nightingale-Thrush,Catharus aurantiirostris,
Russet Nightingale-Thrush,Catharus occidentalis,Endemic (country/region)
Ruddy-capped Nightingale-Thrush,Catharus frantzii,
Black-headed Nightingale-Thrush,Catharus mexicanus,
Yellow-throated Nightingale-Thrush,Catharus dryas,
Veery,Catharus fuscescens,
Gray-cheeked Thrush,Catharus minimus,
Swainson's Thrush,Catharus ustulatus,
Hermit Thrush,Catharus guttatus,
Wood Thrush,Hylocichla mustelina,
Aztec Thrush,Ridgwayia pinicola,Endemic (country/region)
Mountain Thrush,Turdus plebejus,
White-throated Thrush,Turdus assimilis,
Clay-colored Thrush,Turdus grayi,
Black Thrush,Turdus infuscatus,
American Robin,Turdus migratorius,
Rufous-backed Robin,Turdus rufopalliatus,Endemic (country/region)
,,
PASSERIFORMES: Bombycillidae,,
Cedar Waxwing,Bombycilla cedrorum,
,,
PASSERIFORMES: Ptiliogonatidae,,
Gray Silky-flycatcher,Ptiliogonys cinereus,
Phainopepla,Phainopepla nitens,
,,
PASSERIFORMES: Peucedramidae,,
Olive Warbler,Peucedramus taeniatus,
,,
PASSERIFORMES: Estrildidae,,
Tricolored Munia,Lonchura malacca,Introduced species
,,
PASSERIFORMES: Passeridae,,
House Sparrow,Passer domesticus,Introduced species
,,
PASSERIFORMES: Motacillidae,,
Red-throated Pipit,Anthus cervinus,Rare/Accidental
American Pipit,Anthus rubescens,
,,
PASSERIFORMES: Fringillidae,,
Elegant Euphonia,Chlorophonia elegantissima,
Blue-crowned Chlorophonia,Chlorophonia occipitalis,
Scrub Euphonia,Euphonia affinis,
Yellow-throated Euphonia,Euphonia hirundinacea,
Olive-backed Euphonia,Euphonia gouldi,
Hooded Grosbeak,Coccothraustes abeillei,
Evening Grosbeak,Coccothraustes vespertinus,
House Finch,Haemorhous mexicanus,
Cassin's Finch,Haemorhous cassinii,Rare/Accidental
Red Crossbill,Loxia curvirostra,
Pine Siskin,Spinus pinus,
Black-headed Siskin,Spinus notatus,
Lesser Goldfinch,Spinus psaltria,
American Goldfinch,Spinus tristis,
,,
PASSERIFORMES: Passerellidae,,
Common Chlorospingus,Chlorospingus flavopectus,
Cinnamon-tailed Sparrow,Peucaea sumichrasti,Endemic (country/region)
Stripe-headed Sparrow,Peucaea ruficauda,
Black-chested Sparrow,Peucaea humeralis,Endemic (country/region)
Bridled Sparrow,Peucaea mystacalis,Endemic (country/region)
Botteri's Sparrow,Peucaea botterii,
Grasshopper Sparrow,Ammodramus savannarum,
Olive Sparrow,Arremonops rufivirgatus,
Chipping Sparrow,Spizella passerina,
Clay-colored Sparrow,Spizella pallida,
Black-chinned Sparrow,Spizella atrogularis,Rare/Accidental
Lark Sparrow,Chondestes grammacus,
Orange-billed Sparrow,Arremon aurantiirostris,
Chestnut-capped Brushfinch,Arremon brunneinucha,
Yellow-eyed Junco,Junco phaeonotus,
White-crowned Sparrow,Zonotrichia leucophrys,
Striped Sparrow,Oriturus superciliosus,Endemic (country/region)
Vesper Sparrow,Pooecetes gramineus,
Savannah Sparrow,Passerculus sandwichensis,
Lincoln's Sparrow,Melospiza lincolnii,
Rusty-crowned Ground-Sparrow,Melozone kieneri,Endemic (country/region)
Canyon Towhee,Melozone fusca,
White-throated Towhee,Melozone albicollis,Endemic (country/region)
Rusty Sparrow,Aimophila rufescens,
Rufous-crowned Sparrow,Aimophila ruficeps,
Oaxaca Sparrow,Aimophila notosticta,Endemic
Green-tailed Towhee,Pipilo chlorurus,Rare/Accidental
Spotted Towhee,Pipilo maculatus,
Collared Towhee,Pipilo ocai,Endemic (country/region)
Rufous-capped Brushfinch,Atlapetes pileatus,Endemic (country/region)
White-naped Brushfinch,Atlapetes albinucha,
,,
PASSERIFORMES: Icteriidae,,
Yellow-breasted Chat,Icteria virens,
,,
PASSERIFORMES: Icteridae,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare/Accidental
Bobolink,Dolichonyx oryzivorus,Rare/Accidental
Eastern Meadowlark,Sturnella magna,
Yellow-billed Cacique,Amblycercus holosericeus,
Yellow-winged Cacique,Cassiculus melanicterus,Endemic (country/region)
Chestnut-headed Oropendola,Psarocolius wagleri,
Montezuma Oropendola,Psarocolius montezuma,
Black-vented Oriole,Icterus wagleri,
Bar-winged Oriole,Icterus maculialatus,
Black-cowled Oriole,Icterus prosthemelas,
Orchard Oriole,Icterus spurius,
Hooded Oriole,Icterus cucullatus,
Yellow-backed Oriole,Icterus chrysater,Rare/Accidental
Yellow-tailed Oriole,Icterus mesomelas,
Streak-backed Oriole,Icterus pustulatus,
Bullock's Oriole,Icterus bullockii,
Spot-breasted Oriole,Icterus pectoralis,
Altamira Oriole,Icterus gularis,
Audubon's Oriole,Icterus graduacauda,
Baltimore Oriole,Icterus galbula,
Black-backed Oriole,Icterus abeillei,Endemic (country/region)
Scott's Oriole,Icterus parisorum,
Red-winged Blackbird,Agelaius phoeniceus,
Bronzed Cowbird,Molothrus aeneus,
Brown-headed Cowbird,Molothrus ater,
Giant Cowbird,Molothrus oryzivorus,
Melodious Blackbird,Dives dives,
Brewer's Blackbird,Euphagus cyanocephalus,
Great-tailed Grackle,Quiscalus mexicanus,
,,
PASSERIFORMES: Parulidae,,
Ovenbird,Seiurus aurocapilla,
Worm-eating Warbler,Helmitheros vermivorum,
Louisiana Waterthrush,Parkesia motacilla,
Northern Waterthrush,Parkesia noveboracensis,
Golden-winged Warbler,Vermivora chrysoptera,Rare/Accidental
Blue-winged Warbler,Vermivora cyanoptera,
Black-and-white Warbler,Mniotilta varia,
Prothonotary Warbler,Protonotaria citrea,
Swainson's Warbler,Limnothlypis swainsonii,Rare/Accidental
Crescent-chested Warbler,Oreothlypis superciliosa,
Tennessee Warbler,Leiothlypis peregrina,
Orange-crowned Warbler,Leiothlypis celata,
Colima Warbler,Leiothlypis crissalis,Rare/Accidental
Lucy's Warbler,Leiothlypis luciae,
Nashville Warbler,Leiothlypis ruficapilla,
Virginia's Warbler,Leiothlypis virginiae,
Gray-crowned Yellowthroat,Geothlypis poliocephala,
MacGillivray's Warbler,Geothlypis tolmiei,
Mourning Warbler,Geothlypis philadelphia,
Kentucky Warbler,Geothlypis formosa,
Common Yellowthroat,Geothlypis trichas,
Hooded Yellowthroat,Geothlypis nelsoni,Endemic (country/region)
Hooded Warbler,Setophaga citrina,
American Redstart,Setophaga ruticilla,
Cape May Warbler,Setophaga tigrina,Rare/Accidental
Cerulean Warbler,Setophaga cerulea,
Northern Parula,Setophaga americana,
Tropical Parula,Setophaga pitiayumi,
Magnolia Warbler,Setophaga magnolia,
Bay-breasted Warbler,Setophaga castanea,Rare/Accidental
Blackburnian Warbler,Setophaga fusca,
Yellow Warbler,Setophaga petechia,
Chestnut-sided Warbler,Setophaga pensylvanica,
Blackpoll Warbler,Setophaga striata,Rare/Accidental
Black-throated Blue Warbler,Setophaga caerulescens,
Palm Warbler,Setophaga palmarum,
Yellow-rumped Warbler,Setophaga coronata,
Yellow-throated Warbler,Setophaga dominica,
Prairie Warbler,Setophaga discolor,Rare/Accidental
Grace's Warbler,Setophaga graciae,
Black-throated Gray Warbler,Setophaga nigrescens,
Townsend's Warbler,Setophaga townsendi,
Hermit Warbler,Setophaga occidentalis,
Golden-cheeked Warbler,Setophaga chrysoparia,
Black-throated Green Warbler,Setophaga virens,
Fan-tailed Warbler,Basileuterus lachrymosus,
Rufous-capped Warbler,Basileuterus rufifrons,
Chestnut-capped Warbler,Basileuterus delattrii,
Golden-browed Warbler,Basileuterus belli,
Golden-crowned Warbler,Basileuterus culicivorus,
Canada Warbler,Cardellina canadensis,
Wilson's Warbler,Cardellina pusilla,
Red-faced Warbler,Cardellina rubrifrons,
Red Warbler,Cardellina rubra,Endemic (country/region)
Painted Redstart,Myioborus pictus,
Slate-throated Redstart,Myioborus miniatus,
,,
PASSERIFORMES: Cardinalidae,,
Hepatic Tanager,Piranga flava,
Summer Tanager,Piranga rubra,
Scarlet Tanager,Piranga olivacea,
Western Tanager,Piranga ludoviciana,
Flame-colored Tanager,Piranga bidentata,
White-winged Tanager,Piranga leucoptera,
Red-headed Tanager,Piranga erythrocephala,Endemic (country/region)
Red-crowned Ant-Tanager,Habia rubica,
Red-throated Ant-Tanager,Habia fuscicauda,
Black-faced Grosbeak,Caryothraustes poliogaster,
Northern Cardinal,Cardinalis cardinalis,
Yellow Grosbeak,Pheucticus chrysopeplus,
Rose-breasted Grosbeak,Pheucticus ludovicianus,
Black-headed Grosbeak,Pheucticus melanocephalus,
Red-breasted Chat,Granatellus venustus,Endemic (country/region)
Gray-throated Chat,Granatellus sallaei,
Blue Seedeater,Amaurospiza concolor,
Blue-black Grosbeak,Cyanoloxia cyanoides,
Blue Bunting,Cyanocompsa parellina,
Blue Grosbeak,Passerina caerulea,
Lazuli Bunting,Passerina amoena,Rare/Accidental
Indigo Bunting,Passerina cyanea,
Rose-bellied Bunting,Passerina rositae,Endemic (country/region)
Orange-breasted Bunting,Passerina leclancherii,Endemic (country/region)
Varied Bunting,Passerina versicolor,
Painted Bunting,Passerina ciris,
Dickcissel,Spiza americana,
,,
PASSERIFORMES: Thraupidae,,
Gray-headed Tanager,Eucometis penicillata,
Black-throated Shrike-Tanager,Lanio aurantius,
Crimson-collared Tanager,Ramphocelus sanguinolentus,
Scarlet-rumped Tanager,Ramphocelus passerinii,
Blue-gray Tanager,Thraupis episcopus,
Yellow-winged Tanager,Thraupis abbas,
Golden-hooded Tanager,Stilpnia larvata,
Shining Honeycreeper,Cyanerpes lucidus,Rare/Accidental
Red-legged Honeycreeper,Cyanerpes cyaneus,
Green Honeycreeper,Chlorophanes spiza,
Cinnamon-bellied Flowerpiercer,Diglossa baritula,
Slaty Finch,Haplospiza rustica,
Blue-black Grassquit,Volatinia jacarina,
Ruddy-breasted Seedeater,Sporophila minuta,
Thick-billed Seed-Finch,Sporophila funerea,
Variable Seedeater,Sporophila corvina,
Morelet's Seedeater,Sporophila morelleti,
Cinnamon-rumped Seedeater,Sporophila torqueola,
Bananaquit,Coereba flaveola,
Yellow-faced Grassquit,Tiaris olivaceus,
Buff-throated Saltator,Saltator maximus,
Black-headed Saltator,Saltator atriceps,
Cinnamon-bellied Saltator,Saltator grandis,
