ScientificNameV3,CommonNameV3,FamilyV3,ScientificName2023,CommonName2023,Family2023
Amazona guildingii,St Vincent Amazon,Psittacidae,Amazona guildingii,St. Vincent Parrot,Psittacidae
Amazona imperialis,Imperial Amazon,Psittacidae,Amazona imperialis,Imperial Parrot,Psittacidae
Amazona violacea,Guadeloupe Amazon,Psittacidae,Amazona violacea,Guadeloupe Parrot,Psittacidae
Amazona martinicana,Martinique Amazon,Psittacidae,Amazona martinicana,Martinique Parrot,Psittacidae
Tauraco schuetti,Black-billed Turaco,Musophagidae,Tauraco schuettii,Black-billed Turaco,Musophagidae
Tauraco leucotis,White-cheeked Turaco,Musophagidae,Menelikornis leucotis,White-cheeked Turaco,Musophagidae
Tauraco ruspolii,Prince Ruspoli's Turaco,Musophagidae,Menelikornis ruspolii,Prince Ruspoli's Turaco,Musophagidae
Ruwenzorornis johnstoni,Ruwenzori Turaco,Musophagidae,Gallirex johnstoni,Rwenzori Turaco,Musophagidae
Tauraco porphyreolophus,Purple-crested Turaco,Musophagidae,Gallirex porphyreolophus,Purple-crested Turaco,Musophagidae
Corythaixoides concolor,Grey Go-away-bird,Musophagidae,Crinifer concolor,Gray Go-away-bird,Musophagidae
Corythaixoides personatus,Bare-faced Go-away-bird,Musophagidae,Crinifer personatus,Bare-faced Go-away-bird,Musophagidae
Corythaixoides leucogaster,White-bellied Go-away-bird,Musophagidae,Crinifer leucogaster,White-bellied Go-away-bird,Musophagidae
Crinifer piscator,Western Grey Plantain-eater,Musophagidae,Crinifer piscator,Western Plantain-eater,Musophagidae
Crinifer zonurus,Eastern Grey Plantain-eater,Musophagidae,Crinifer zonurus,Eastern Plantain-eater,Musophagidae
Cuculus crassirostris,Sulawesi Hawk-cuckoo,Cuculidae,Cuculus crassirostris,Sulawesi Cuckoo,Cuculidae
Cuculus sparverioides,Large Hawk-cuckoo,Cuculidae,,,
,,,Hierococcyx sparverioides,Large Hawk-Cuckoo,Cuculidae
,,,Hierococcyx bocki,Dark Hawk-Cuckoo,Cuculidae
Cuculus varius,Common Hawk-cuckoo,Cuculidae,Hierococcyx varius,Common Hawk-Cuckoo,Cuculidae
Cuculus vagans,Moustached Hawk-cuckoo,Cuculidae,Hierococcyx vagans,Moustached Hawk-Cuckoo,Cuculidae
Cuculus fugax,Hodgson's Hawk-cuckoo,Cuculidae,,,
,,,Hierococcyx fugax,Malaysian Hawk-Cuckoo,Cuculidae
,,,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,Cuculidae
,,,Hierococcyx hyperythrus,Northern Hawk-Cuckoo,Cuculidae
,,,Hierococcyx pectoralis,Philippine Hawk-Cuckoo,Cuculidae
Cuculus pallidus,Pallid Cuckoo,Cuculidae,Cacomantis pallidus,Pallid Cuckoo,Cuculidae
Cacomantis passerinus,Grey-bellied Cuckoo,Cuculidae,Cacomantis passerinus,Gray-bellied Cuckoo,Cuculidae
Cacomantis sepulcralis,Rusty-breasted Cuckoo,Cuculidae,,,
,,,Cacomantis aeruginosus,Moluccan Cuckoo,Cuculidae
Cacomantis heinrichi,Moluccan Cuckoo,Cuculidae,,,
,,,Cacomantis variolosus,Brush Cuckoo,Cuculidae
Cacomantis variolosus,Brush Cuckoo,Cuculidae,,,
Rhamphomantis megarhynchus,Long-billed Cuckoo,Cuculidae,Chrysococcyx megarhynchus,Long-billed Cuckoo,Cuculidae
,,,Chrysococcyx minutillus,Little Bronze-Cuckoo,Cuculidae
Chrysococcyx minutillus,Little Bronze-cuckoo,Cuculidae,,,
Chrysococcyx russatus,Gould's Bronze-cuckoo,Cuculidae,,,
Chrysococcyx crassirostris,Pied Bronze-cuckoo,Cuculidae,,,
Chrysococcyx meyeri,White-eared Bronze-cuckoo,Cuculidae,Chrysococcyx meyerii,White-eared Bronze-Cuckoo,Cuculidae
Chrysococcyx caprius,Didric Cuckoo,Cuculidae,Chrysococcyx caprius,Dideric Cuckoo,Cuculidae
Nannococcyx psix,St Helena Cuckoo,Cuculidae,Nannococcyx psix,St. Helena Cuckoo,Cuculidae
Caliechthrus leucolophus,White-crowned Koel,Cuculidae,Cacomantis leucolophus,White-crowned Cuckoo,Cuculidae
Surniculus lugubris,Drongo Cuckoo,Cuculidae,,,
,,,Surniculus lugubris,Square-tailed Drongo-Cuckoo,Cuculidae
,,,Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,Cuculidae
,,,Surniculus velutinus,Philippine Drongo-Cuckoo,Cuculidae
,,,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Cuculidae
Eudynamys orientalis,Eastern Koel,Cuculidae,Eudynamys orientalis,Pacific Koel,Cuculidae
Eudynamys taitensis,Long-tailed Koel,Cuculidae,Urodynamis taitensis,Long-tailed Koel,Cuculidae
Ceuthmochares aereus,Yellowbill,Cuculidae,,,
,,,Ceuthmochares aereus,Blue Malkoha,Cuculidae
,,,Ceuthmochares australis,Green Malkoha,Cuculidae
Phaenicophaeus leschenaultii,Sirkeer Malkoha,Cuculidae,Taccocua leschenaultii,Sirkeer Malkoha,Cuculidae
Phaenicophaeus chlorophaeus,Raffles's Malkoha,Cuculidae,Rhinortha chlorophaea,Raffles's Malkoha,Cuculidae
Phaenicophaeus javanicus,Red-billed Malkoha,Cuculidae,Zanclostomus javanicus,Red-billed Malkoha,Cuculidae
Phaenicophaeus calyorhynchus,Yellow-billed Malkoha,Cuculidae,Rhamphococcyx calyorhynchus,Yellow-billed Malkoha,Cuculidae
Phaenicophaeus superciliosus,Red-crested Malkoha,Cuculidae,Dasylophus superciliosus,Red-crested Malkoha,Cuculidae
Phaenicophaeus cumingi,Scale-feathered Malkoha,Cuculidae,Dasylophus cumingi,Scale-feathered Malkoha,Cuculidae
Carpococcyx radiatus,Bornean Ground-cuckoo,Cuculidae,Carpococcyx radiceus,Bornean Ground-Cuckoo,Cuculidae
,,,Centropus phasianinus,Pheasant Coucal,Cuculidae
Centropus phasianinus,Pheasant Coucal,Cuculidae,,,
Centropus spilopterus,Kai Coucal,Cuculidae,,,
Centropus andamanensis,Brown Coucal,Cuculidae,Centropus andamanensis,Andaman Coucal,Cuculidae
Centropus toulou,Madagascar Coucal,Cuculidae,Centropus toulou,Malagasy Coucal,Cuculidae
Centropus chlororhynchus,Green-billed Coucal,Cuculidae,Centropus chlororhynchos,Green-billed Coucal,Cuculidae
Coccycua cinerea,Ash-coloured Cuckoo,Cuculidae,Coccycua cinerea,Ash-colored Cuckoo,Cuculidae
Coccyzus lansbergi,Grey-capped Cuckoo,Cuculidae,Coccyzus lansbergi,Gray-capped Cuckoo,Cuculidae
Tyto inexspectata,Sulawesi Golden Owl,Tytonidae,Tyto inexspectata,Minahasa Masked-Owl,Tytonidae
,,,Tyto almae,Seram Masked-Owl,Tytonidae
Tyto aurantia,Bismarck Masked-owl,Tytonidae,Tyto aurantia,Golden Masked-Owl,Tytonidae
Tyto novaehollandiae,Australian Masked-owl,Tytonidae,,,
,,,Tyto novaehollandiae,Australian Masked-Owl,Tytonidae
Tyto rosenbergii,Sulawesi Owl,Tytonidae,Tyto rosenbergii,Sulawesi Masked-Owl,Tytonidae
Tyto soumagnei,Madagascar Red Owl,Tytonidae,Tyto soumagnei,Red Owl,Tytonidae
Tyto alba,Barn Owl,Tytonidae,,,
,,,Tyto alba,Barn Owl,Tytonidae
,,,Tyto deroepstorffi,Andaman Masked-Owl,Tytonidae
Tyto longimembris,Eastern Grass-owl,Tytonidae,Tyto longimembris,Australasian Grass-Owl,Tytonidae
Phodilus prigoginei,Congo Bay-owl,Tytonidae,Tyto prigoginei,Itombwe Owl,Tytonidae
Phodilus badius,Oriental Bay-owl,Tytonidae,,,
,,,Phodilus badius,Oriental Bay-Owl,Tytonidae
,,,Phodilus assimilis,Sri Lanka Bay-Owl,Tytonidae
,,,Otus spilocephalus,Mountain Scops-Owl,Strigidae
Otus spilocephalus,Mountain Scops-owl,Strigidae,,,
Otus flammeolus,Flammulated Owl,Strigidae,Psiloscops flammeolus,Flammulated Owl,Strigidae
Otus scops,Common Scops-owl,Strigidae,,,
,,,Otus scops,Eurasian Scops-Owl,Strigidae
,,,Otus cyprius,Cyprus Scops-Owl,Strigidae
Otus senegalensis,African Scops-owl,Strigidae,,,
,,,Otus senegalensis,African Scops-Owl,Strigidae
,,,Otus pamelae,Arabian Scops-Owl,Strigidae
,,,Otus socotranus,Socotra Scops-Owl,Strigidae
Otus manadensis,Sulawesi Scops-owl,Strigidae,,,
,,,Otus manadensis,Sulawesi Scops-Owl,Strigidae
,,,Otus mendeni,Banggai Scops-Owl,Strigidae
Otus elegans,Elegant Scops-owl,Strigidae,Otus elegans,Ryukyu Scops-Owl,Strigidae
Otus magicus,Moluccan Scops-owl,Strigidae,,,
,,,Otus magicus,Moluccan Scops-Owl,Strigidae
,,,Otus tempestatis,Wetar Scops-Owl,Strigidae
,,,Otus sulaensis,Sula Scops-Owl,Strigidae
,,,Otus jolandae,Rinjani Scops-Owl,Strigidae
Otus rutilus,Malagasy Scops-owl,Strigidae,Otus rutilus,Madagascar Scops-Owl,Strigidae
,,,Otus bikegila,Principe Scops-Owl,Strigidae
Otus pauliani,Grand Comoro Scops-owl,Strigidae,Otus pauliani,Comoro Scops-Owl,Strigidae
Otus bakkamoena,Collared Scops-owl,Strigidae,,,
,,,Otus bakkamoena,Indian Scops-Owl,Strigidae
,,,Otus semitorques,Japanese Scops-Owl,Strigidae
,,,Otus lettia,Collared Scops-Owl,Strigidae
,,,Otus lempiji,Sunda Scops-Owl,Strigidae
Otus megalotis,Philippine Scops-owl,Strigidae,,,
,,,Otus megalotis,Philippine Scops-Owl,Strigidae
,,,Otus nigrorum,Negros Scops-Owl,Strigidae
,,,Otus everetti,Everett's Scops-Owl,Strigidae
Otus leucotis,White-faced Scops-owl,Strigidae,,,
,,,Ptilopsis leucotis,Northern White-faced Owl,Strigidae
,,,Ptilopsis granti,Southern White-faced Owl,Strigidae
,,,Megascops gilesi,Santa Marta Screech-Owl,Strigidae
Megascops roboratus,West Peruvian Screech-owl,Strigidae,Megascops roboratus,Peruvian Screech-Owl,Strigidae
,,,Megascops centralis,Choco Screech-Owl,Strigidae
,,,Megascops roraimae,Foothill Screech-Owl,Strigidae
Megascops guatemalae,Vermiculated Screech-owl,Strigidae,,,
,,,Megascops guatemalae,Middle American Screech-Owl,Strigidae
,,,Megascops ingens,Rufescent Screech-Owl,Strigidae
Megascops ingens,Rufescent Screech-owl,Strigidae,,,
Megascops colombianus,Colombian Screech-owl,Strigidae,,,
Megascops nudipes,Puerto Rican Screech-owl,Strigidae,Gymnasio nudipes,Puerto Rican Owl,Strigidae
Gymnoglaux lawrencii,Bare-legged Owl,Strigidae,Margarobyas lawrencii,Bare-legged Owl,Strigidae
Mimizuku gurneyi,Giant Scops-owl,Strigidae,Otus gurneyi,Giant Scops-Owl,Strigidae
Bubo virginianus,Great Horned Owl,Strigidae,,,
,,,Bubo virginianus,Great Horned Owl,Strigidae
,,,Bubo magellanicus,Lesser Horned Owl,Strigidae
Bubo africanus,Spotted Eagle-owl,Strigidae,,,
,,,Bubo africanus,Spotted Eagle-Owl,Strigidae
,,,Bubo milesi,Arabian Eagle-Owl,Strigidae
,,,Bubo cinerascens,Grayish Eagle-Owl,Strigidae
,,,Ketupa poensis,Fraser's Eagle-Owl,Strigidae
Bubo poensis,Fraser's Eagle-owl,Strigidae,,,
Bubo vosseleri,Usambara Eagle-owl,Strigidae,,,
Bubo nipalensis,Spot-bellied Eagle-owl,Strigidae,Ketupa nipalensis,Spot-bellied Eagle-Owl,Strigidae
Bubo sumatranus,Barred Eagle-owl,Strigidae,Ketupa sumatrana,Barred Eagle-Owl,Strigidae
Bubo shelleyi,Shelley's Eagle-owl,Strigidae,Ketupa shelleyi,Shelley's Eagle-Owl,Strigidae
Bubo lacteus,Giant Eagle-owl,Strigidae,Ketupa lactea,Verreaux's Eagle-Owl,Strigidae
Bubo coromandus,Dusky Eagle-owl,Strigidae,Ketupa coromanda,Dusky Eagle-Owl,Strigidae
Bubo leucostictus,Akun Eagle-owl,Strigidae,Ketupa leucosticta,Akun Eagle-Owl,Strigidae
Bubo philippensis,Philippine Eagle-owl,Strigidae,Ketupa philippensis,Philippine Eagle-Owl,Strigidae
Bubo scandiaca,Snowy Owl,Strigidae,Bubo scandiacus,Snowy Owl,Strigidae
Strix aluco,Tawny Owl,Strigidae,,,
,,,Strix aluco,Tawny Owl,Strigidae
,,,Strix mauritanica,Maghreb Owl,Strigidae
,,,Strix nivicolum,Himalayan Owl,Strigidae
Strix butleri,Hume's Owl,Strigidae,,,
,,,Strix butleri,Omani Owl,Strigidae
,,,Strix hadorami,Desert Owl,Strigidae
Strix varia,Barred Owl,Strigidae,,,
,,,Strix varia,Barred Owl,Strigidae
,,,Strix sartorii,Cinereous Owl,Strigidae
Strix nebulosa,Great Grey Owl,Strigidae,Strix nebulosa,Great Gray Owl,Strigidae
Glaucidium brodiei,Collared Owlet,Strigidae,,,
,,,Taenioptynx brodiei,Collared Owlet,Strigidae
,,,Taenioptynx sylvaticus,Sunda Owlet,Strigidae
Glaucidium nanum,Austral Pygmy-owl,Strigidae,Glaucidium nana,Austral Pygmy-Owl,Strigidae
Glaucidium sjostedti,Sjostedt's Owlet,Strigidae,Glaucidium sjostedti,Sjöstedt's Owlet,Strigidae
Glaucidium castanonotum,Chestnut-backed Owlet,Strigidae,Glaucidium castanotum,Chestnut-backed Owlet,Strigidae
,,,Glaucidium capense,African Barred Owlet,Strigidae
Glaucidium capense,African Barred Owlet,Strigidae,,,
Glaucidium castaneum,Chestnut Owlet,Strigidae,,,
Mascarenotus grucheti,Reunion Owl,Strigidae,Otus grucheti,Reunion Scops-Owl,Strigidae
Mascarenotus sauzieri,Mauritius Owl,Strigidae,Otus sauzieri,Mauritius Scops-Owl,Strigidae
Heteroglaux blewitti,Forest Owlet,Strigidae,Athene blewitti,Forest Owlet,Strigidae
Mascarenotus murivorus,Rodrigues Owl,Strigidae,Otus murivorus,Rodrigues Scops-Owl,Strigidae
,,,Aegolius gradyi,Bermuda Saw-whet Owl,Strigidae
Aegolius ridgwayi,Southern Saw-whet Owl,Strigidae,Aegolius ridgwayi,Unspotted Saw-whet Owl,Strigidae
,,,Ninox connivens,Barking Owl,Strigidae
Ninox connivens,Barking Owl,Strigidae,,,
,,,Ninox boobook,Southern Boobook,Strigidae
,,,Ninox rotiensis,Rote Boobook,Strigidae
,,,Ninox fusca,Timor Boobook,Strigidae
,,,Ninox plesseni,Alor Boobook,Strigidae
Ninox sumbaensis,Little Sumba Hawk-owl,Strigidae,Ninox sumbaensis,Least Boobook,Strigidae
Ninox novaeseelandiae,Southern Boobook,Strigidae,,,
,,,Ninox novaeseelandiae,Morepork,Strigidae
,,,Ninox leucopsis,Tasmanian Boobook,Strigidae
Ninox scutulata,Brown Hawk-owl,Strigidae,,,
,,,Ninox scutulata,Brown Boobook,Strigidae
,,,Ninox obscura,Hume's Boobook,Strigidae
,,,Ninox japonica,Northern Boobook,Strigidae
,,,Ninox randi,Chocolate Boobook,Strigidae
Ninox affinis,Andaman Hawk-owl,Strigidae,,,
,,,Ninox affinis,Andaman Boobook,Strigidae
Ninox superciliaris,White-browed Hawk-owl,Strigidae,Athene superciliaris,White-browed Owl,Strigidae
Ninox philippensis,Philippine Hawk-owl,Strigidae,,,
,,,Ninox philippensis,Luzon Boobook,Strigidae
,,,Ninox reyi,Sulu Boobook,Strigidae
,,,Ninox spilocephala,Mindanao Boobook,Strigidae
,,,Ninox mindorensis,Mindoro Boobook,Strigidae
,,,Ninox spilonotus,Romblon Boobook,Strigidae
,,,Ninox rumseyi,Cebu Boobook,Strigidae
,,,Ninox leventisi,Camiguin Boobook,Strigidae
Ninox ochracea,Ochre-bellied Hawk-owl,Strigidae,Ninox ochracea,Ochre-bellied Boobook,Strigidae
Ninox ios,Cinnabar Hawk-owl,Strigidae,Ninox ios,Cinnabar Boobook,Strigidae
Ninox burhani,Togian Hawk-owl,Strigidae,Ninox burhani,Togian Boobook,Strigidae
Ninox squamipila,Moluccan Hawk-owl,Strigidae,,,
,,,Ninox squamipila,Seram Boobook,Strigidae
,,,Ninox hantu,Buru Boobook,Strigidae
,,,Ninox hypogramma,Halmahera Boobook,Strigidae
,,,Ninox forbesi,Tanimbar Boobook,Strigidae
Ninox natalis,Christmas Island Hawk-owl,Strigidae,Ninox natalis,Christmas Island Boobook,Strigidae
Ninox theomacha,Jungle Hawk-owl,Strigidae,Ninox theomacha,Papuan Boobook,Strigidae
Ninox meeki,Manus Hawk-owl,Strigidae,Ninox meeki,Manus Boobook,Strigidae
Ninox punctulata,Speckled Hawk-owl,Strigidae,Ninox punctulata,Speckled Boobook,Strigidae
Ninox variegata,Bismarck Hawk-owl,Strigidae,Ninox variegata,Bismarck Boobook,Strigidae
Ninox odiosa,Russet Hawk-owl,Strigidae,Ninox odiosa,New Britain Boobook,Strigidae
Ninox jacquinoti,Solomons Hawk-owl,Strigidae,,,
,,,Athene jacquinoti,West Solomons Owl,Strigidae
,,,Athene granti,Guadalcanal Owl,Strigidae
,,,Athene malaitae,Malaita Owl,Strigidae
,,,Athene roseoaxillaris,Makira Owl,Strigidae
Uroglaux dimorpha,Papuan Hawk-owl,Strigidae,Uroglaux dimorpha,Papuan Owl,Strigidae
Sceloglaux albifacies,Laughing Owl,Strigidae,Ninox albifacies,Laughing Owl,Strigidae
Pseudoscops grammicus,Jamaican Owl,Strigidae,Asio grammicus,Jamaican Owl,Strigidae
Pseudoscops clamator,Striped Owl,Strigidae,Asio clamator,Striped Owl,Strigidae
Nesasio solomonensis,Fearful Owl,Strigidae,Asio solomonensis,Fearful Owl,Strigidae
Rigidipenna inexpectata,Solomon Islands Frogmouth,Podargidae,Rigidipenna inexpectata,Solomons Frogmouth,Podargidae
Batrachostomus poliolophus,Short-tailed Frogmouth,Podargidae,Batrachostomus poliolophus,Sumatran Frogmouth,Podargidae
Batrachostomus javensis,Javan Frogmouth,Podargidae,,,
,,,Batrachostomus javensis,Javan Frogmouth,Podargidae
,,,Batrachostomus chaseni,Palawan Frogmouth,Podargidae
Aegotheles crinifrons,Long-whiskered Owlet-nightjar,Aegothelidae,Aegotheles crinifrons,Moluccan Owlet-nightjar,Aegothelidae
Aegotheles bennettii,Barred Owlet-nightjar,Aegothelidae,,,
,,,Aegotheles affinis,Vogelkop Owlet-nightjar,Aegothelidae
,,,Aegotheles bennettii,Barred Owlet-nightjar,Aegothelidae
Aegotheles archboldi,Archbold's Owlet-nightjar,Aegothelidae,,,
,,,Aegotheles albertisi,Mountain Owlet-nightjar,Aegothelidae
Aegotheles albertisi,Mountain Owlet-nightjar,Aegothelidae,,,
Nyctibius griseus,Grey Potoo,Nyctibiidae,Nyctibius griseus,Common Potoo,Nyctibiidae
Nyctibius bracteatus,Rufous Potoo,Nyctibiidae,Phyllaemulor bracteatus,Rufous Potoo,Nyctibiidae
Eurostopodus argus,Spotted Eared-nightjar,Caprimulgidae,Eurostopodus argus,Spotted Nightjar,Caprimulgidae
Eurostopodus mystacalis,White-throated Eared-nightjar,Caprimulgidae,,,
,,,Eurostopodus mystacalis,White-throated Nightjar,Caprimulgidae
,,,Eurostopodus exul,New Caledonian Nightjar,Caprimulgidae
,,,Eurostopodus nigripennis,Solomons Nightjar,Caprimulgidae
Eurostopodus diabolicus,Sulawesi Eared-nightjar,Caprimulgidae,Eurostopodus diabolicus,Diabolical Nightjar,Caprimulgidae
Eurostopodus papuensis,Papuan Eared-nightjar,Caprimulgidae,Eurostopodus papuensis,Papuan Nightjar,Caprimulgidae
Eurostopodus archboldi,Mountain Eared-nightjar,Caprimulgidae,Eurostopodus archboldi,Archbold's Nightjar,Caprimulgidae
Eurostopodus temminckii,Malaysian Eared-nightjar,Caprimulgidae,Lyncornis temminckii,Malaysian Eared-Nightjar,Caprimulgidae
Eurostopodus macrotis,Great Eared-nightjar,Caprimulgidae,Lyncornis macrotis,Great Eared-Nightjar,Caprimulgidae
Chordeiles rupestris,Sand-coloured Nighthawk,Caprimulgidae,Chordeiles rupestris,Sand-colored Nighthawk,Caprimulgidae
Nyctiprogne vielliardi,Plain-tailed Nighthawk,Caprimulgidae,Nyctiprogne vielliardi,Bahian Nighthawk,Caprimulgidae
Podager nacunda,Nacunda Nighthawk,Caprimulgidae,Chordeiles nacunda,Nacunda Nighthawk,Caprimulgidae
Caprimulgus carolinensis,Chuck-will's-widow,Caprimulgidae,Antrostomus carolinensis,Chuck-will's-widow,Caprimulgidae
Caprimulgus rufus,Rufous Nightjar,Caprimulgidae,Antrostomus rufus,Rufous Nightjar,Caprimulgidae
Caprimulgus cubanensis,Cuban Nightjar,Caprimulgidae,Antrostomus cubanensis,Cuban Nightjar,Caprimulgidae
Caprimulgus ekmani,Hispaniola Nightjar,Caprimulgidae,Antrostomus ekmani,Hispaniolan Nightjar,Caprimulgidae
Caprimulgus salvini,Tawny-collared Nightjar,Caprimulgidae,Antrostomus salvini,Tawny-collared Nightjar,Caprimulgidae
Caprimulgus badius,Yucatan Nightjar,Caprimulgidae,Antrostomus badius,Yucatan Nightjar,Caprimulgidae
Caprimulgus sericocaudatus,Silky-tailed Nightjar,Caprimulgidae,Antrostomus sericocaudatus,Silky-tailed Nightjar,Caprimulgidae
Caprimulgus ridgwayi,Buff-collared Nightjar,Caprimulgidae,Antrostomus ridgwayi,Buff-collared Nightjar,Caprimulgidae
Caprimulgus vociferus,Whip-poor-will,Caprimulgidae,,,
,,,Antrostomus vociferus,Eastern Whip-poor-will,Caprimulgidae
,,,Antrostomus arizonae,Mexican Whip-poor-will,Caprimulgidae
Caprimulgus noctitherus,Puerto Rican Nightjar,Caprimulgidae,Antrostomus noctitherus,Puerto Rican Nightjar,Caprimulgidae
Caprimulgus saturatus,Dusky Nightjar,Caprimulgidae,Antrostomus saturatus,Dusky Nightjar,Caprimulgidae
Caprimulgus longirostris,Band-winged Nightjar,Caprimulgidae,,,
,,,Systellura longirostris,Band-winged Nightjar,Caprimulgidae
,,,Systellura decussata,Tschudi's Nightjar,Caprimulgidae
Caprimulgus cayennensis,White-tailed Nightjar,Caprimulgidae,Hydropsalis cayennensis,White-tailed Nightjar,Caprimulgidae
Caprimulgus maculicaudus,Spot-tailed Nightjar,Caprimulgidae,Hydropsalis maculicaudus,Spot-tailed Nightjar,Caprimulgidae
Caprimulgus parvulus,Little Nightjar,Caprimulgidae,Setopagis parvula,Little Nightjar,Caprimulgidae
Caprimulgus heterurus,Todd's Nightjar,Caprimulgidae,Setopagis heterura,Todd's Nightjar,Caprimulgidae
Caprimulgus anthonyi,Scrub Nightjar,Caprimulgidae,Nyctidromus anthonyi,Scrub Nightjar,Caprimulgidae
Caprimulgus maculosus,Cayenne Nightjar,Caprimulgidae,Setopagis maculosa,Cayenne Nightjar,Caprimulgidae
Caprimulgus nigrescens,Blackish Nightjar,Caprimulgidae,Nyctipolus nigrescens,Blackish Nightjar,Caprimulgidae
Caprimulgus whitelyi,Roraiman Nightjar,Caprimulgidae,Setopagis whitelyi,Roraiman Nightjar,Caprimulgidae
Caprimulgus hirundinaceus,Pygmy Nightjar,Caprimulgidae,Nyctipolus hirundinaceus,Pygmy Nightjar,Caprimulgidae
Caprimulgus binotatus,Brown Nightjar,Caprimulgidae,Veles binotatus,Brown Nightjar,Caprimulgidae
Caprimulgus indicus,Grey Nightjar,Caprimulgidae,,,
,,,Caprimulgus indicus,Jungle Nightjar,Caprimulgidae
,,,Caprimulgus jotaka,Gray Nightjar,Caprimulgidae
,,,Caprimulgus phalaena,Palau Nightjar,Caprimulgidae
,,,Caprimulgus europaeus,Eurasian Nightjar,Caprimulgidae
Caprimulgus europaeus,Eurasian Nightjar,Caprimulgidae,,,
Caprimulgus centralasicus,Vaurie's Nightjar,Caprimulgidae,,,
Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgidae,,,
,,,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgidae
,,,Caprimulgus andamanicus,Andaman Nightjar,Caprimulgidae
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar,Caprimulgidae,Caprimulgus donaldsoni,Donaldson Smith's Nightjar,Caprimulgidae
,,,Caprimulgus pectoralis,Fiery-necked Nightjar,Caprimulgidae
Caprimulgus pectoralis,Fiery-necked Nightjar,Caprimulgidae,,,
Caprimulgus nigriscapularis,Black-shouldered Nightjar,Caprimulgidae,,,
,,,Caprimulgus poliocephalus,Montane Nightjar,Caprimulgidae
Caprimulgus poliocephalus,Montane Nightjar,Caprimulgidae,,,
Caprimulgus ruwenzorii,Ruwenzori Nightjar,Caprimulgidae,,,
Caprimulgus affinis,Savanna Nightjar,Caprimulgidae,,,
,,,Caprimulgus affinis,Savanna Nightjar,Caprimulgidae
,,,Caprimulgus griseatus,Chirruping Nightjar,Caprimulgidae
Caprimulgus concretus,Sunda Nightjar,Caprimulgidae,Caprimulgus concretus,Bonaparte's Nightjar,Caprimulgidae
Caprimulgus enarratus,Collared Nightjar,Caprimulgidae,Gactornis enarratus,Collared Nightjar,Caprimulgidae
Macrodipteryx longipennis,Standard-winged Nightjar,Caprimulgidae,Caprimulgus longipennis,Standard-winged Nightjar,Caprimulgidae
Macrodipteryx vexillarius,Pennant-winged Nightjar,Caprimulgidae,Caprimulgus vexillarius,Pennant-winged Nightjar,Caprimulgidae
Hemiprocne longipennis,Grey-rumped Treeswift,Hemiprocnidae,Hemiprocne longipennis,Gray-rumped Treeswift,Hemiprocnidae
Cypseloides niger,American Black Swift,Apodidae,Cypseloides niger,Black Swift,Apodidae
Collocalia esculenta,Glossy Swiftlet,Apodidae,,,
,,,Collocalia esculenta,Glossy Swiftlet,Apodidae
,,,Collocalia isonota,Ridgetop Swiftlet,Apodidae
,,,Collocalia sumbawae,Tenggara Swiftlet,Apodidae
,,,Collocalia neglecta,Drab Swiftlet,Apodidae
,,,Collocalia uropygialis,Satin Swiftlet,Apodidae
,,,Collocalia affinis,Plume-toed Swiftlet,Apodidae
,,,Collocalia natalis,Christmas Island Swiftlet,Apodidae
,,,Collocalia marginata,Gray-rumped Swiftlet,Apodidae
Collocalia linchi,Cave Swiftlet,Apodidae,,,
,,,Collocalia linchi,Cave Swiftlet,Apodidae
,,,Collocalia dodgei,Bornean Swiftlet,Apodidae
Collocalia elaphra,Seychelles Swiftlet,Apodidae,Aerodramus elaphrus,Seychelles Swiftlet,Apodidae
Collocalia francica,Mascarene Swiftlet,Apodidae,Aerodramus francicus,Mascarene Swiftlet,Apodidae
Collocalia unicolor,Indian Swiftlet,Apodidae,Aerodramus unicolor,Indian Swiftlet,Apodidae
Collocalia infuscata,Moluccan Swiftlet,Apodidae,,,
,,,Aerodramus infuscatus,Halmahera Swiftlet,Apodidae
,,,Aerodramus sororum,Sulawesi Swiftlet,Apodidae
,,,Aerodramus ceramensis,Seram Swiftlet,Apodidae
Collocalia hirundinacea,Mountain Swiftlet,Apodidae,Aerodramus hirundinaceus,Mountain Swiftlet,Apodidae
Collocalia spodiopygia,White-rumped Swiftlet,Apodidae,,,
,,,Aerodramus spodiopygius,White-rumped Swiftlet,Apodidae
,,,Aerodramus terraereginae,Australian Swiftlet,Apodidae
,,,Aerodramus brevirostris,Himalayan Swiftlet,Apodidae
Collocalia brevirostris,Himalayan Swiftlet,Apodidae,,,
Collocalia vulcanorum,Volcano Swiftlet,Apodidae,Aerodramus vulcanorum,Volcano Swiftlet,Apodidae
Collocalia rogersi,Indochinese Swiftlet,Apodidae,,,
Collocalia whiteheadi,Whitehead's Swiftlet,Apodidae,Aerodramus whiteheadi,Whitehead's Swiftlet,Apodidae
Collocalia nuditarsus,Bare-legged Swiftlet,Apodidae,Aerodramus nuditarsus,Bare-legged Swiftlet,Apodidae
